#mpa_vOct22_CHOCOPhlAnSGB_202212
#clade_name	relative_abundance
d__Bacteria	97.85634999999996
d__Archaea	2.12655
d__Bacteria;p__Firmicutes_A	59.611589999999985
d__Bacteria;p__Bacteroidota	9.193950000000001
d__Bacteria;p__Verrucomicrobiota	3.76482
d__Bacteria;p__Firmicutes_C	9.484259999999999
d__Bacteria;p__Firmicutes	12.95793
d__Archaea;p__Methanobacteriota	2.12655
d__Bacteria;p__Actinobacteriota	1.95308
d__Bacteria;p__Desulfobacterota_I	0.6686300000000001
d__Bacteria;p__Proteobacteria	0.14536000000000002
d__Bacteria;p__Synergistota	0.05549
d__Bacteria;p__Patescibacteria	0.01361
d__Bacteria;p__Cyanobacteria	0.00589
d__Bacteria;p__Firmicutes_B	0.00174
d__Bacteria;p__Firmicutes_A;c__Clostridia	59.611589999999985
d__Bacteria;p__Bacteroidota;c__Bacteroidia	9.193950000000001
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae	3.76482
d__Bacteria;p__Firmicutes_C;c__Negativicutes	9.484259999999999
d__Bacteria;p__Firmicutes;c__Bacilli	12.95793
d__Archaea;p__Methanobacteriota;c__Methanobacteria	2.12655
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia	1.13846
d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia	0.6686300000000001
d__Bacteria;p__Actinobacteriota;c__Actinomycetia	0.81462
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.14105
d__Bacteria;p__Synergistota;c__Synergistia	0.05549
d__Bacteria;p__Patescibacteria;c__Saccharimonadia	0.01361
d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia	0.00589
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	0.00431
d__Bacteria;p__Firmicutes_B;c__Peptococcia	0.00174
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales	23.108049999999995
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales	26.94586
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales	9.193950000000001
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales	3.76482
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales	4.33775
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales	6.866140000000001
d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39	10.72663
