#mpa_vOct22_CHOCOPhlAnSGB_202212
#clade_name	relative_abundance
d__Bacteria	99.99996
d__Bacteria;p__Firmicutes_A	54.96584999999999
d__Bacteria;p__Firmicutes	35.901419999999995
d__Bacteria;p__Actinobacteriota	8.629
d__Bacteria;p__Patescibacteria	0.27822
d__Bacteria;p__Firmicutes_C	0.11408
d__Bacteria;p__Bacteroidota	0.09137999999999999
d__Bacteria;p__Proteobacteria	0.020010000000000003
d__Bacteria;p__Firmicutes_A;c__Clostridia	54.96584999999999
d__Bacteria;p__Firmicutes;c__Bacilli	35.901419999999995
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia	6.57752
d__Bacteria;p__Actinobacteriota;c__Actinomycetia	2.0514799999999997
d__Bacteria;p__Patescibacteria;c__Saccharimonadia	0.27822
d__Bacteria;p__Firmicutes_C;c__Negativicutes	0.11408
d__Bacteria;p__Bacteroidota;c__Bacteroidia	0.09137999999999999
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.020010000000000003
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales	52.31981
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	33.593419999999995
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales	6.57752
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales	1.8323699999999998
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales	2.1799799999999996
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales	2.0015699999999996
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales	0.76227
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales	0.27822
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales	0.11408
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales	0.12718
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales	0.05076
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales	0.09137999999999999
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales	0.02769
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales	0.02222
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales	0.018940000000000002
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales	0.00107
d__Bacteria;p__Firmicutes;c__Bacilli;o__Haloplasmatales_A	0.00084
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__UBA1381	0.00064
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	52.31981
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	33.521209999999996
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	4.01401
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae	2.4487
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae	1.70762
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae	1.38078
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae	1.28375
