#mpa_vOct22_CHOCOPhlAnSGB_202212
#clade_name	relative_abundance
d__Bacteria	100.00009999999997
d__Bacteria;p__Firmicutes_A	80.51339999999998
d__Bacteria;p__Actinobacteriota	11.45277
d__Bacteria;p__Firmicutes	6.8104000000000005
d__Bacteria;p__Firmicutes_C	0.37189999999999995
d__Bacteria;p__Proteobacteria	0.26103
d__Bacteria;p__Bacteroidota	0.50393
d__Bacteria;p__Desulfobacterota_I	0.08667
d__Bacteria;p__Firmicutes_A;c__Clostridia	80.51339999999998
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia	10.38483
d__Bacteria;p__Firmicutes;c__Bacilli	6.8104000000000005
d__Bacteria;p__Actinobacteriota;c__Actinomycetia	1.06794
d__Bacteria;p__Firmicutes_C;c__Negativicutes	0.37189999999999995
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.26103
d__Bacteria;p__Bacteroidota;c__Bacteroidia	0.50393
d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia	0.08667
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales	42.061589999999974
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales	33.96386
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales	10.38483
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales	3.2624
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	3.51514
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77	1.69874
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales	1.064
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales	1.7116700000000005
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales	0.34431999999999996
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales	0.9772999999999998
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales	0.26103
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales	0.50393
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Eubacteriales	0.08973
d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales	0.08667
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales	0.03286
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales	0.02758
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__UBA1381	0.01051
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales	0.00324
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales	0.0007
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	42.006789999999974
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae	16.595829999999996
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae	13.852040000000002
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	5.11303
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae	4.105799999999999
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae	1.76444
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae	1.44195
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	2.0226699999999997
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508	1.69874
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae	2.44556
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae	1.1277500000000003
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae	1.07043
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae	0.95333
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-74	1.3667800000000003
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae	1.49796
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae	0.34431999999999996
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae	0.9772999999999998
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae	0.26103
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	0.28221
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__Christensenellaceae	0.21497000000000002
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	0.20590000000000003
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Eubacteriales;f__Anaerofustaceae	0.08973
