#mpa_vOct22_CHOCOPhlAnSGB_202212
#clade_name	relative_abundance
d__Bacteria	100.00006000000006
d__Bacteria;p__Firmicutes_A	83.60535000000006
d__Bacteria;p__Firmicutes_C	3.89147
d__Bacteria;p__Bacteroidota	7.27418
d__Bacteria;p__Firmicutes	2.7542
d__Bacteria;p__Proteobacteria	0.71535
d__Bacteria;p__Actinobacteriota	1.69202
d__Bacteria;p__Patescibacteria	0.06749
d__Bacteria;p__Firmicutes_A;c__Clostridia	83.60535000000006
d__Bacteria;p__Firmicutes_C;c__Negativicutes	3.89147
d__Bacteria;p__Bacteroidota;c__Bacteroidia	7.27418
d__Bacteria;p__Firmicutes;c__Bacilli	2.7542
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.71535
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia	1.53955
d__Bacteria;p__Patescibacteria;c__Saccharimonadia	0.06749
d__Bacteria;p__Actinobacteriota;c__Actinomycetia	0.15247000000000002
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales	77.12983000000004
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales	3.89147
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales	7.27418
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales	5.8240300000000005
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales	1.83387
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales	0.71535
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales	1.53955
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__UBA1381	0.46841
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	0.86412
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales	0.18008000000000002
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales	0.06749
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales	0.056209999999999996
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales	0.14733000000000002
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales	0.00398
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales	0.00284
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales	0.00116
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Eubacteriales	0.00016
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	77.09750000000004
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae	3.89147
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	5.85379
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae	3.1994000000000007
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae	1.7682499999999999
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae	1.49412
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae	1.4122800000000002
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae	0.71535
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae	1.529
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae	0.52832
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__UBA1381;f__UBA1381	0.46841
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	0.8475600000000001
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae	0.33975
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae	0.32805999999999996
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae	0.07638
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA10027	0.05596
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae	0.1037
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Gemellaceae	0.056209999999999996
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae	0.14733000000000002
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae	0.03233
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae	0.01055
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	0.00811
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae	0.01582
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae	0.005
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae	0.00398
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Nanosynbacteraceae	0.00437
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__Christensenellaceae	0.00284
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__SDRK01	0.00216
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae	0.00116
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae	0.00074
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Eubacteriales;f__Anaerofustaceae	0.00016
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A	37.425279999999994
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter	13.13205
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter	6.33033
