#mpa_v30_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	MAA20062_metaphlan	MAA20060_metaphlan	MAA20056_metaphlan	MAA20054_metaphlan	MAA20053_metaphlan	MAA20052_metaphlan	MAA20050_metaphlan	MAA20049_metaphlan	MAA20047_metaphlan	MAA20046_metaphlan	MAA20045_metaphlan	MAA20044_metaphlan	MAA20042_metaphlan	MAA20040_metaphlan	MAA20039_metaphlan	MAA20037_metaphlan	MAA20036_metaphlan	MAA20034_metaphlan	MAA20032_metaphlan	MAA20031_metaphlan	MAA20028_metaphlan	MAA20027_metaphlan	MAA20026_metaphlan	MAA20024_metaphlan	MAA20023_metaphlan	MAA20021_metaphlan	MAA20020_metaphlan	MAA20019_metaphlan	MAA20018_metaphlan	MAA20015_metaphlan	MAA20014_metaphlan	MAA20013_metaphlan	MAA20011_metaphlan	MAA20010_metaphlan	MAA20009_metaphlan	MAA20007_metaphlan	MAA20004_metaphlan	MAA20003_metaphlan	MAA20002_metaphlan	MAA20001_metaphlan	K155_S76_metaphlan	K154_S75_metaphlan	K150_S71_metaphlan	K147_S68_metaphlan	K146_S67_metaphlan	K145_S66_metaphlan	K144_S65_metaphlan	K142_S63_metaphlan	K141_S62_metaphlan	K140_S51_metaphlan	K138_S49_metaphlan	K136_S47_metaphlan	K133_S44_metaphlan	K131_S42_metaphlan	K122_S33_metaphlan	K121_S32_metaphlan	K120_S31_metaphlan	K117_S28_metaphlan	K116_S27_metaphlan	K115_S26_metaphlan	K114_S25_metaphlan	K113_S24_metaphlan	K112_S23_metaphlan	K111_S22_metaphlan	K108_S19_metaphlan	K107_S18_metaphlan	K102_S13_metaphlan	K101_S12_metaphlan	K100_S11_metaphlan	K093_S4_metaphlan	K092_S3_metaphlan	K090_S1_metaphlan	K088_S24_metaphlan	K0882_S28_metaphlan	K085_S21_metaphlan	K081_S17_metaphlan	K080_S16_metaphlan	K079_S15_metaphlan	K077_S13_metaphlan	K076_S12_metaphlan	K074_S10_metaphlan	K072_S8_metaphlan	K071_S7_metaphlan	K070_S6_metaphlan	K069_S5_metaphlan	K065_S1_metaphlan	K063_S43_metaphlan	K0622_S11_metaphlan	K056_S36_metaphlan	K054_S34_metaphlan	K052_S32_metaphlan	K051_S31_metaphlan	K048_S28_metaphlan	K0487_S2_metaphlan	K039_S19_metaphlan	K01315_S43_metaphlan	CD184_S184_metaphlan	CD183_S183_metaphlan	CD182_S182_metaphlan	CD181_S181_metaphlan	CD180_S180_metaphlan	CD175_S163_metaphlan	CD174_S159_metaphlan	CD173_S155_metaphlan	CD172_S151_metaphlan	CD171_S178_metaphlan	CD170_S174_metaphlan	CD169_S170_metaphlan	CD168_S166_metaphlan	CD167_S162_metaphlan	CD166_S158_metaphlan	CD165_S154_metaphlan	CD164_S150_metaphlan	CD163_S177_metaphlan	CD162_S173_metaphlan	CD161_S169_metaphlan	CD159_S161_metaphlan	CD158_S157_metaphlan	CD157_S153_metaphlan	CD156_S149_metaphlan	CD155_S176_metaphlan	CD154_S172_metaphlan	CD153_S168_metaphlan	CD152_S164_metaphlan	CD151_S160_metaphlan	CD147_S147_metaphlan	CD146_S135_metaphlan	CD145_S123_metaphlan	CD144_S111_metaphlan	CD143_S99_metaphlan	CD142_S87_metaphlan	CD141_S75_metaphlan	CD140_S63_metaphlan	CD139_S146_metaphlan	CD138_S134_metaphlan	CD137_S122_metaphlan	CD136_S110_metaphlan	CD135_S98_metaphlan	CD134_S86_metaphlan	CD133_S74_metaphlan	CD132_S62_metaphlan	CD131_S145_metaphlan	CD130_S133_metaphlan	CD129_S121_metaphlan	CD128_S109_metaphlan	CD127_S97_metaphlan	CD126_S85_metaphlan	CD125_S73_metaphlan	CD124_S61_metaphlan	CD123_S144_metaphlan	CD122_S132_metaphlan	CD121_S120_metaphlan	CD120_S108_metaphlan	CD119_S96_metaphlan	CD118_S84_metaphlan	CD116_S60_metaphlan	CD115_S143_metaphlan	CD114_S131_metaphlan	CD113_S119_metaphlan	CD112_S107_metaphlan	CD110_S83_metaphlan	CD109_S71_metaphlan	CD108_S59_metaphlan	CD107_S142_metaphlan	CD106_S130_metaphlan	CD105_S118_metaphlan	CD104_S106_metaphlan	CD103_S94_metaphlan	CD102_S82_metaphlan	CD101_S70_metaphlan	CD100_S58_metaphlan	CD099_S141_metaphlan	CD098_S129_metaphlan	CD097_S117_metaphlan	CD096_S105_metaphlan	CD095_S93_metaphlan	CD094_S81_metaphlan	CD093_S69_metaphlan	CD092_S57_metaphlan	CD091_S140_metaphlan	CD090_S128_metaphlan	CD089_S116_metaphlan	CD088_S104_metaphlan	CD087_S92_metaphlan	CD086_S80_metaphlan	CD085_S68_metaphlan	CD084_S56_metaphlan	CD083_S139_metaphlan	CD082_S127_metaphlan	CD081_S115_metaphlan	CD080_S103_metaphlan	CD079_S91_metaphlan	CD078_S79_metaphlan	CD077_S67_metaphlan	CD076_S55_metaphlan	CD075_S138_metaphlan	CD074_S126_metaphlan	CD073_S114_metaphlan	CD072_S102_metaphlan	CD071_S90_metaphlan	CD070_S78_metaphlan	CD069_S66_metaphlan	CD068_S54_metaphlan	CD067_S137_metaphlan	CD066_S125_metaphlan	CD065_S113_metaphlan	CD064_S101_metaphlan	CD063_S89_metaphlan	CD062_S77_metaphlan	CD061_S65_metaphlan	CD060_S53_metaphlan	CD059_S136_metaphlan	CD058_S124_metaphlan	CD057_S112_metaphlan	CD056_S100_metaphlan	CD055_S88_metaphlan	CD054_S76_metaphlan	CD053_S64_metaphlan	CD052_S52_metaphlan	CD051_S48_metaphlan	CD050_S42_metaphlan	CD049_S36_metaphlan	CD048_S30_metaphlan	CD047_S24_metaphlan	CD046_S18_metaphlan	CD045_S12_metaphlan	CD044_S6_metaphlan	CD043_S47_metaphlan	CD042_S41_metaphlan	CD041_S35_metaphlan	CD040_S29_metaphlan	CD039_S23_metaphlan	CD038_S17_metaphlan	CD037_S11_metaphlan	CD036_S5_metaphlan	CD035_S46_metaphlan	CD034_S40_metaphlan	CD033_S34_metaphlan	CD032_S28_metaphlan	CD031_S22_metaphlan	CD030_S16_metaphlan	CD029_S10_metaphlan	CD028_S4_metaphlan	CD027_S45_metaphlan	CD026_S39_metaphlan	CD025_S33_metaphlan	CD024_S27_metaphlan	CD023_S21_metaphlan	CD022_S15_metaphlan	CD021_S9_metaphlan	CD020_S3_metaphlan	CD019_S44_metaphlan	CD018_S38_metaphlan	CD017_S32_metaphlan	CD016_S26_metaphlan	CD015_S20_metaphlan	CD014_S14_metaphlan	CD013_S8_metaphlan	CD012_S2_metaphlan	CD011_S43_metaphlan	CD010_S37_metaphlan	CD009_S31_metaphlan	CD008_S25_metaphlan	CD007_S19_metaphlan	CD006_S13_metaphlan	CD005_S7_metaphlan	CD004_S1_metaphlan	CD003_S51_metaphlan	CD002_S50_metaphlan	CD001_S49_metaphlan	BX3094_S12_metaphlan	BX3091_S9_metaphlan	BX3089_S6_metaphlan	BX3088_S3_metaphlan	BX3085_S20_metaphlan	BX3084_S17_metaphlan	BX3075_S14_metaphlan	BX3074_S11_metaphlan	BX3073_S8_metaphlan	BX3070_S5_metaphlan	BX3069_S2_metaphlan	BX3068_S22_metaphlan	BX3067_S19_metaphlan	BX3066_S16_metaphlan	BX3064_S13_metaphlan	BX3063_S10_metaphlan	BX3062_S7_metaphlan	BX3061_S4_metaphlan	BX3060_S1_metaphlan	BX3059_S21_metaphlan	BX3055_S18_metaphlan	BX3054_S15_metaphlan
k__Archaea	2157	0	0	0	0	0	0	0	0	0	0	0	0.84844	1.07016	0	0	0	0	0	0	0	0	0	0	0.0012	0	0	0	0	0	0	0	0	0	0	0.02385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04379	0	0	2.14072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04207	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04325	0	0.01271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.12726	0	0	0	0	0	0	0	0.11802	0	0	0	0	0	0	0	0	0	0	0	0	0.01654	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09067	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota	2157|28890	0	0	0	0	0	0	0	0	0	0	0	0.84844	1.07016	0	0	0	0	0	0	0	0	0	0	0.0012	0	0	0	0	0	0	0	0	0	0	0.02385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04379	0	0	2.14072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04207	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04325	0	0.01271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.12726	0	0	0	0	0	0	0	0.11802	0	0	0	0	0	0	0	0	0	0	0	0	0.01654	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09067	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0	0	0	0	0	0	0	0	0	0	0	0.84844	1.07016	0	0	0	0	0	0	0	0	0	0	0.0012	0	0	0	0	0	0	0	0	0	0	0.02385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04379	0	0	2.14072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04207	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04325	0	0.01271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.12726	0	0	0	0	0	0	0	0.11802	0	0	0	0	0	0	0	0	0	0	0	0	0.01654	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09067	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0	0	0	0	0	0	0	0	0	0	0	0.84844	1.07016	0	0	0	0	0	0	0	0	0	0	0.0012	0	0	0	0	0	0	0	0	0	0	0.02385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04379	0	0	2.14072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04207	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04325	0	0.01271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.12726	0	0	0	0	0	0	0	0.11802	0	0	0	0	0	0	0	0	0	0	0	0	0.01654	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09067	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	2157|28890|183925|2158|2159	0	0	0	0	0	0	0	0	0	0	0	0.84844	1.07016	0	0	0	0	0	0	0	0	0	0	0.0012	0	0	0	0	0	0	0	0	0	0	0.02385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04379	0	0	2.14072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04207	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04325	0	0.01271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.12726	0	0	0	0	0	0	0	0.11802	0	0	0	0	0	0	0	0	0	0	0	0	0.01654	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09067	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	2157|28890|183925|2158|2159|2172	0	0	0	0	0	0	0	0	0	0	0	0.8118	1.07016	0	0	0	0	0	0	0	0	0	0	0.0012	0	0	0	0	0	0	0	0	0	0	0.02385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03471	0	0	2.14072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04207	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.12726	0	0	0	0	0	0	0	0.11802	0	0	0	0	0	0	0	0	0	0	0	0	0.01654	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09067	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_arboriphilus	2157|28890|183925|2158|2159|2172|39441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09067	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_oralis	2157|28890|183925|2158|2159|2172|66851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	2157|28890|183925|2158|2159|2172|2173	0	0	0	0	0	0	0	0	0	0	0	0.8118	1.07016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03471	0	0	2.14072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04207	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.12726	0	0	0	0	0	0	0	0.11802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera	2157|28890|183925|2158|2159|2316	0	0	0	0	0	0	0	0	0	0	0	0.03665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04325	0	0.01271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
