#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	SCD66_metaphlan	SCD67_metaphlan	SCD68_metaphlan	SCD69_metaphlan	SCD70_metaphlan	SCD73_metaphlan	SCD72_metaphlan	SCD82_metaphlan	SCD75_metaphlan	SCD76_metaphlan	SCD77_metaphlan	SCD83_metaphlan	SCD137_metaphlan	SCD79_metaphlan	SCD80_metaphlan	SCD84_metaphlan	SCD81_metaphlan	SCD106_metaphlan	SCD88_metaphlan	SCD91_metaphlan	SCD86_metaphlan	SCD138_metaphlan	SCD107_metaphlan	SCD90_metaphlan	SCD87_metaphlan	SCD92_metaphlan	SCD154_metaphlan	SCD93_metaphlan	SCD94_metaphlan	SCD139_metaphlan	SCD109_metaphlan	SCD129_metaphlan	SCD110_metaphlan	SCD97_metaphlan	SCD98_metaphlan	SCD99_metaphlan	SCD112_metaphlan	SCD100_metaphlan	SCD122_metaphlan	SCD101_metaphlan	SCD130_metaphlan	SCD103_metaphlan	SCD104_metaphlan	SCD140_metaphlan	SCD102_metaphlan	SCD105_metaphlan	SCD113_metaphlan	SCD145_metaphlan	SCD156_metaphlan	SCD141_metaphlan	SCD114_metaphlan	SCD115_metaphlan	SCD116_metaphlan	SCD111_metaphlan	SCD147_metaphlan	SCD142_metaphlan	SCD143_metaphlan	SCD117_metaphlan	SCD132_metaphlan	SCD124_metaphlan	SCD125_metaphlan	SCD126_metaphlan	SCD118_metaphlan	SCD119_metaphlan	SCD150_metaphlan	SCD157_metaphlan	SCD127_metaphlan	SCD133_metaphlan	SCD128_metaphlan	SCD136_metaphlan	SCD144_metaphlan	SCD151_metaphlan	SCD152_metaphlan	SCD153_metaphlan
k__Bacteria	100.0	99.89108	99.99381	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.98404	100.0	100.0	99.93844	100.0	99.99929	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.98	100.0	100.0	100.0	100.0	99.98061	100.0	100.0	99.99785	99.96474	100.0	100.0	99.98445	100.0	100.0	100.0	100.0	100.0	100.0	99.99382	99.9994	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.95134	100.0	99.98732	100.0	100.0	100.0	100.0	100.0	100.0	99.9659	100.0	100.0	100.0	100.0	99.99855
k__Bacteria|p__Firmicutes	58.77065	58.6636	73.64055	66.20655	64.44409	56.56326	69.07592	66.10382	92.58947	85.92145	70.37862	72.82326	71.69093	73.7012	86.11827	33.93118	51.51776	57.17133	80.18821	65.46313	61.36747	86.57852	78.1432	82.59906	54.88514	79.90111	84.43914	66.09249	53.7203	22.20974	52.76109	65.76196	40.79638	88.87937	42.59127	83.27738	52.9068	92.59009	65.57434	89.88343	71.3529	77.02046	81.44815	79.79921	47.79362	96.54101	81.75961	79.99934	64.73099	76.94591	64.44615	87.41609	89.42584	71.75031	77.07056	52.97796	75.95977	69.72859	81.30868	88.14813	53.96346	68.75541	73.85991	86.29817	65.13911	80.74692	48.69039	82.22248	52.3204	56.85474	79.22315	89.10418	84.69272	87.6952
k__Bacteria|p__Actinobacteria	33.51467	30.9001	8.77332	28.25868	33.54768	6.16201	23.32551	25.40395	3.12319	12.27609	17.01662	6.58923	23.31479	18.8949	10.9457	48.37129	30.64921	14.24846	14.61396	1.94415	33.19047	7.1317	20.57861	11.62037	8.37849	12.96127	4.56033	10.16322	44.48339	70.84393	0.76527	7.49939	7.12071	5.16987	29.5333	9.94961	39.00126	0.99269	13.77042	9.0897	11.7001	18.42434	10.01311	15.5412	41.58002	2.02101	12.62065	4.54927	28.32013	18.76594	25.803	1.17318	5.09005	19.9619	12.99232	6.06149	4.48774	8.70988	10.63589	2.83937	3.84445	30.00488	23.05112	3.862	9.45656	11.58162	46.38488	13.52135	37.08058	0.58689	6.11108	0.14026	11.44209	5.73723
k__Bacteria|p__Bacteroidetes	5.77258	0.51801	16.46186	4.55629	0.41822	1.9995	0.30697	7.23064	0.17197	0.18354	0.07506	11.04358	3.6794	0.45788	0.0	17.08755	13.8458	2.18974	3.00687	0.37091	1.72122	2.46047	0.13978	3.17978	21.81528	5.44448	1.40766	17.16573	1.44915	0.0	6.25948	15.35471	12.61162	2.18998	5.85364	2.4047	6.96432	2.97952	10.98836	0.83723	8.15032	3.87257	7.22595	3.45837	2.07038	0.9521	4.7055	13.70189	6.38162	1.13615	5.75605	3.26467	2.94629	3.6587	6.04969	35.58635	13.19389	14.96664	7.23568	5.14484	2.95506	0.0	0.71697	4.03324	19.7938	5.64101	4.2352	0.88712	6.00015	9.66188	13.73996	2.72192	3.06487	6.45216
k__Bacteria|p__Bacteria_unclassified	1.7623	0.0	0.0	0.0	0.0	0.0	0.0	0.0275	0.0	0.0	0.48405	0.28075	0.64021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29063	0.0	0.0	1.38856	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41465	0.0	1.83906	0.0	0.0	0.0	0.0	0.5745	0.0	0.01516	0.47535	0.0	0.0	0.0	0.0	0.0	0.07948	0.0	0.0	0.0	0.0	0.85305	0.13163	0.0	0.0	0.0	0.0	0.0	0.0	0.1297	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria	0.16394	9.67577	0.92759	0.93907	0.61453	1.2974	7.07829	1.23355	3.57555	1.60281	12.01781	8.65477	0.64608	6.88637	2.8698	0.54328	0.52096	23.68706	1.37192	9.15334	1.44648	3.22488	0.95601	1.20727	14.90101	1.5994	7.85642	6.4345	0.30292	6.91399	40.16036	11.10422	2.31419	1.09011	4.63884	0.53372	1.09325	3.42859	3.7386	0.16232	8.21272	0.62996	0.59111	0.69784	8.43853	0.46294	0.9134	1.33122	0.5555	3.06452	3.97751	2.62745	2.53305	3.24916	3.03288	4.72861	6.31115	3.27173	0.80871	3.25077	12.5488	1.17971	2.23151	5.71388	5.57134	2.02967	0.67385	3.27645	4.54916	32.89311	0.86812	8.02028	0.77686	0.07918
k__Bacteria|p__Candidatus_Saccharibacteria	0.01585	0.1336	0.00886	0.03193	0.03347	0.06662	0.19402	0.00054	0.0	0.01611	0.0	0.01241	0.00423	0.00416	0.00467	0.06375	0.00131	0.03699	0.00631	0.01064	0.02817	0.02338	0.04474	0.00495	8e-05	0.09243	0.00588	0.01653	0.04424	0.01296	0.00833	0.04793	0.00262	0.0	0.0089	0.0	0.01882	0.00911	0.0	0.02732	0.00946	0.004	0.0266	0.0	0.09226	0.02295	0.00083	0.00782	0.01176	0.00458	0.01659	0.00564	0.00476	0.06275	0.0015	0.02829	0.00138	0.02618	0.01105	0.00011	0.00449	0.04732	0.0108	0.09084	0.00932	0.00079	0.00577	0.02113	0.01561	0.00338	0.0	0.01207	0.0	0.03477
k__Bacteria|p__Firmicutes|c__Clostridia	50.41775	49.96663	61.67055	50.21544	48.68677	36.95667	54.93954	47.11502	83.85963	3.8367	52.71753	47.77511	53.96399	29.42423	84.97201	21.61236	32.60607	40.99001	75.13166	56.38498	54.83233	73.41032	75.61318	68.81885	8.84816	75.95934	55.04421	40.78029	23.9547	0.00089	45.7479	55.73238	0.81811	66.94789	32.33837	65.05333	25.90413	58.64767	12.13529	49.95282	66.0318	70.07131	70.16972	67.05773	32.70742	84.17195	64.17166	73.88716	51.8248	65.46712	43.70349	75.97557	54.25993	51.94051	33.02618	27.77301	16.60066	39.5723	67.47694	71.52137	37.2497	49.20422	42.14345	1.64644	49.7826	39.37498	37.67424	70.32766	21.12381	43.6115	10.24549	81.68556	57.31534	53.29114
k__Bacteria|p__Actinobacteria|c__Actinomycetia	29.63996	21.53877	1.33431	27.10857	27.39162	0.35685	16.36597	18.53195	1.64304	3.88148	11.75371	5.24515	19.14157	18.26135	10.84644	36.17665	23.32517	1.14933	8.15441	1.5376	22.14793	1.84033	11.71049	6.83849	6.98757	4.2299	3.24323	9.32213	39.24127	70.84378	0.2474	2.23201	5.89392	2.57369	3.24554	1.40384	38.46808	0.29544	13.36366	7.70988	9.33931	12.34367	8.30607	12.20447	27.90375	0.79154	9.92714	2.19026	21.40565	7.95201	21.13421	0.06574	0.38589	3.72948	7.11401	4.53858	2.72458	0.27871	3.65595	0.10614	0.93255	29.91199	10.79996	3.17266	8.08865	7.48456	45.44401	12.64571	34.33864	0.34326	4.51999	0.0953	9.8483	0.27203
k__Bacteria|p__Firmicutes|c__Bacilli	6.0985	3.50971	0.43486	13.87274	1.98019	0.949	3.44777	3.99024	6.20724	18.47085	8.5397	1.75632	4.16968	3.54815	0.30941	5.77827	5.82395	4.90627	0.93281	4.34459	1.20081	5.78176	1.13778	1.63334	0.47876	0.35725	4.27541	4.41777	0.16211	20.47497	1.69726	3.78648	4.07798	2.75344	0.89807	5.30433	1.28721	0.31738	3.08657	9.75614	1.61962	0.73328	1.09052	0.94599	6.61425	1.59421	7.85447	0.12765	5.69898	0.52332	1.12995	0.53021	11.42698	1.72861	6.40962	5.64385	9.57938	13.99477	1.53496	10.98058	1.18797	15.52313	18.63432	0.34919	4.27532	23.27662	0.6954	2.84147	14.92663	5.90566	0.68717	3.26219	16.39185	3.6537
