#mpa_vOct22_CHOCOPhlAnSGB_202212
#clade_name	relative_abundance
d__Bacteria	99.97915
d__Bacteria;p__Firmicutes_A	71.81645
d__Bacteria;p__Actinobacteriota	9.034279999999999
d__Bacteria;p__Proteobacteria	6.35669
d__Bacteria;p__Firmicutes	7.283860000000001
d__Bacteria;p__Firmicutes_C	5.4670000000000005
d__Bacteria;p__Bacteroidota	0.01835
d__Bacteria;p__Patescibacteria	0.0025199999999999997
d__Bacteria;p__Firmicutes_A;c__Clostridia	71.81645
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia	8.638369999999998
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	6.35669
d__Bacteria;p__Firmicutes;c__Bacilli	7.283860000000001
d__Bacteria;p__Firmicutes_C;c__Negativicutes	5.4670000000000005
d__Bacteria;p__Actinobacteriota;c__Actinomycetia	0.39590999999999993
d__Bacteria;p__Bacteroidota;c__Bacteroidia	0.01835
d__Bacteria;p__Patescibacteria;c__Saccharimonadia	0.0025199999999999997
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales	71.55056
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales	8.638369999999998
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales	6.35669
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	5.85261
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales	5.34585
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales	1.40854
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales	0.39411999999999997
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales	0.12115
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales	0.23009
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales	0.01835
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales	0.02271
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales	0.0358
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales	0.0025199999999999997
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales	0.00103
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales	0.00076
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	71.55056
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	8.626589999999998
