#mpa_vOct22_CHOCOPhlAnSGB_202212
#clade_name	relative_abundance
d__Bacteria	100.00001999999999
d__Bacteria;p__Fusobacteriota	33.88351
d__Bacteria;p__Firmicutes_C	17.175159999999998
d__Bacteria;p__Firmicutes_A	37.189519999999995
d__Bacteria;p__Actinobacteriota	6.05788
d__Bacteria;p__Firmicutes	2.28092
d__Bacteria;p__Bacteroidota	2.0035
d__Bacteria;p__Desulfobacterota_I	0.7078800000000001
d__Bacteria;p__Proteobacteria	0.58793
d__Bacteria;p__Patescibacteria	0.06663000000000001
d__Bacteria;p__Cyanobacteria	0.04281
d__Bacteria;p__Synergistota	0.00428
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia	33.88351
d__Bacteria;p__Firmicutes_C;c__Negativicutes	17.175159999999998
d__Bacteria;p__Firmicutes_A;c__Clostridia	37.189519999999995
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia	5.72133
d__Bacteria;p__Firmicutes;c__Bacilli	2.28092
d__Bacteria;p__Bacteroidota;c__Bacteroidia	2.0035
d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia	0.7078800000000001
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.58793
d__Bacteria;p__Actinobacteriota;c__Actinomycetia	0.33655
d__Bacteria;p__Patescibacteria;c__Saccharimonadia	0.06663000000000001
d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia	0.04281
d__Bacteria;p__Synergistota;c__Synergistia	0.00428
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales	33.88351
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales	15.82105
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales	34.81981
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales	5.72133
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales	2.08573
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales	1.35411
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales	1.3334400000000002
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales	2.0017199999999997
d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales	0.7078800000000001
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	0.9441999999999999
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales	0.52772
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales	0.26345999999999997
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales	0.33655
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales	0.06021
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales	0.06663000000000001
d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales	0.04281
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Eubacteriales	0.01341
