clade_name	CD001	CD002	CD003	CD004	CD005	CD006	CD007	CD008	CD009	CD010	CD011	CD012	CD013	CD014	CD015	CD016	CD017	CD018	CD019	CD020	CD021	CD022	CD023	CD024	CD025	CD026	CD028	CD029	CD030	CD031	CD032	CD033	CD034	CD035	CD036	CD037	CD038	CD039	CD040	CD041	CD042	CD043	CD044	CD045	CD046	CD047	CD048	CD049	CD050	CD051	CD052	CD053	CD054	CD055	CD056	CD057	CD059	CD060	CD061	CD062	CD063	CD064	CD065	CD066	CD067	CD068	CD069	CD070	CD071	CD072	CD073	CD074	CD075	CD076	CD078	CD079	CD080	CD081	CD082	CD083	CD084	CD085	CD086	CD087	CD088	CD089	CD090	CD091	CD092	CD093	CD094	CD095	CD096	CD097	CD098	CD099	CD100	CD101	CD102	CD103	CD105	CD106	CD107	CD108	CD109	CD112	CD113	CD114	CD115	CD116	CD118	CD119	CD120	CD121	CD122	CD123	CD124	CD125	CD126	CD127	CD128	CD129	CD130	CD131	CD132	CD133	CD134	CD135	CD136	CD137	CD138	CD139	CD140	CD141	CD142	CD143	CD144	CD145	CD146	CD147	CD151	CD153	CD154	CD155	CD156	CD157	CD158	CD159	CD161	CD162	CD163	CD164	CD167	CD168	CD169	CD171	CD172	CD173	CD174	CD175	CD180	CD181	CD182	CD183	CD184
k__Bacteria	100.0	100.0	99.98129	100.0	100.0	99.91106	100.0	99.95392	100.0	100.0	100.0	100.0	100.0	99.777	100.0	100.0	99.9939	100.0	85.78349	100.0	100.0	99.97238	100.0	100.0	100.0	99.98987	99.79962	100.0	100.0	100.0	99.94097	99.94565	100.0	99.98176	100.0	100.0	100.0	99.9952	100.0	100.0	100.0	99.97818	100.0	100.0	100.0	100.0	99.9543	100.0	99.77671	100.0	100.0	100.0	100.0	99.99947	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.99943	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.97984	100.0	100.0	100.0	99.95355	100.0	99.93342	100.0	100.0	100.0	100.0	100.0	100.0	99.88198	99.95517	99.97727	100.0	100.0	99.94595	100.0	100.0	62.87274	100.0	100.0	100.0	99.99886	100.0	100.0	99.86412	100.0	100.0	99.93794	100.0	99.9876	100.0	99.987	100.0	100.0	100.0	99.99637	100.0	100.0	100.0	100.0	100.0	99.80254	100.0	99.93438	100.0	100.0	100.0	100.0	100.0	99.95993	100.0	100.0	100.0	100.0	100.0	99.97957	100.0	100.0	100.0	100.0	99.94521	100.0	100.0	100.0	99.98729	100.0	99.95675	99.78758	99.78412	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.91482	100.0	100.0	99.99567	100.0	100.0	99.97872	100.0
k__Bacteria|p__Proteobacteria	54.93075	5.44229	4.63198	0.6439	2.13822	0.03137	2.23962	4.1725	22.06421	1.51781	6.96545	0.4702	19.49495	11.97845	3.20528	0.79256	5.88563	70.15043	34.7006	0.69305	0.92521	0.16504	1.49114	51.44659	79.92456	33.99265	18.58683	2.70071	72.82616	0.22585	2.85928	0.44402	0.65493	6.24468	0.89955	0.00859	13.44286	20.16261	29.8971	93.02023	3.40377	17.45571	0.36859	12.67157	1.89139	6.04863	81.08058	13.30334	0.01404	88.42076	39.90203	2.72978	0.37803	5.22905	0.00359	27.46864	66.03887	17.48269	26.42749	0.84569	0.53489	2.53331	5.15824	2.58609	4.2507	0.10783	13.05465	3.12839	1.5133	1.75533	5.57733	16.98217	4.64223	52.76529	0.77258	0.27993	0.09135	1.6236	1.32082	0.58581	2.21805	2.20097	0.82782	15.81036	34.67268	63.87699	6.4423	23.0119	25.18792	9.16385	0.17059	14.25314	0.78145	0.78823	0.40152	80.05252	3.3799	7.34818	4.04639	2.01806	1.02075	10.86746	22.17787	2.71867	86.70122	0.0362	68.22555	0.26319	96.19797	1.80052	15.95217	0.01042	10.08233	0.27579	9.95502	9.52637	3.48471	0.09557	9.12733	16.24576	12.67583	46.86105	19.24198	18.77669	24.60298	3.64877	33.57321	0.44905	30.21527	50.62689	29.82386	9.7813	0.3514	0.62563	62.52455	13.41633	29.76013	0.19201	97.27677	19.96354	1.8466	1.04415	10.42481	39.3272	13.17581	19.15212	0.98263	0.89744	30.82508	39.26944	88.92973	27.0352	68.41265	9.12723	0.30095	15.45191	10.93947	1.03554	0.14042	3.42437	0.10992	0.85723	7.68185	0.45777	3.70805
k__Bacteria|p__Firmicutes	44.47376	22.13129	18.90592	65.38684	27.74492	26.65491	64.00681	26.51085	3.94394	41.61329	23.04417	55.7098	14.56377	35.30823	36.06349	98.1598	72.6108	27.8988	45.65222	64.4588	23.06505	79.23027	75.17785	24.92628	20.04976	62.60499	59.44132	65.86688	9.13099	22.43993	76.29099	60.44504	16.54368	60.64608	32.29761	75.93269	40.80569	55.21642	21.39429	5.32381	60.57223	39.82429	24.36788	24.37826	38.85833	56.55797	14.27	37.47498	59.59003	10.64615	42.25474	36.36764	50.76638	19.63847	47.299	37.09031	10.72814	49.97579	64.39174	26.567	63.45917	20.81334	37.13904	46.6292	33.70769	60.98865	84.22502	59.24529	63.42155	22.88695	19.05789	52.91228	67.23575	25.46439	52.82279	26.15052	69.60036	6.65079	49.99918	18.92114	74.09081	51.30843	20.52772	53.51882	45.42511	17.80934	77.50389	59.8183	64.30133	48.98616	71.05033	24.36399	38.4351	28.17822	44.10346	19.18916	29.00015	71.37024	31.55297	27.76117	41.25089	34.11159	67.59159	68.10685	13.27435	59.37934	29.57572	55.34374	3.72159	50.43889	62.19815	80.57812	65.77449	32.1598	63.7042	49.55983	59.79139	51.26632	45.17414	10.87465	50.07237	50.20223	49.13227	64.60789	45.85963	58.95571	16.9326	56.81868	47.38012	48.39454	68.45294	71.82638	39.18657	30.12278	10.27364	74.95986	41.02847	77.67539	2.38545	65.32456	27.18987	42.33304	46.68405	26.97469	39.05621	19.88005	75.64758	75.17967	25.14091	37.37432	11.00084	30.86834	28.49539	37.99438	81.34014	44.3689	50.63021	56.58254	57.29864	59.26982	67.61235	71.4438	88.24544	61.2363	72.01206
k__Bacteria|p__Actinobacteria	0.30347	3.02086	7.80943	11.61108	2.3768	73.22477	18.58159	69.19973	0.182	4.54995	10.24422	17.02984	50.50469	34.24714	11.24152	0.32902	16.81632	0.19637	4.14592	10.54679	3.15924	19.09087	2.14806	22.93507	0.02568	0.26594	1.69548	11.42785	0.69445	8.05383	12.97441	35.99592	14.82184	18.16827	25.42866	1.15098	31.39877	13.97325	12.49567	1.39928	10.43398	29.69665	11.52034	41.84874	12.37404	8.77554	4.60372	49.21377	37.98193	0.93309	5.31788	9.57647	27.78381	4.36736	28.47671	21.42243	0.14698	1.3264	1.06261	5.78216	26.46633	4.78545	16.92832	21.26	8.6959	6.37733	1.08458	17.10986	10.45308	15.67423	4.35761	13.0391	6.97449	0.15043	31.31565	20.68261	11.92002	11.61277	5.68451	65.91812	10.69419	40.6379	37.39958	0.21147	1.97146	8.08459	8.26718	16.31465	4.55649	38.83762	9.861	1.68466	26.88578	69.81626	40.6086	0.53164	7.19811	9.86576	22.84052	15.30259	38.46804	9.17524	4.94306	21.89192	0.01776	39.82731	1.7098	30.21841	0.06804	39.42675	1.43347	3.26359	10.7393	45.87086	21.11326	22.37655	26.14507	37.58623	11.96129	1.6746	28.4441	0.91449	29.00244	9.20276	1.0237	4.5545	1.35291	24.31024	0.18238	0.63395	1.64093	18.25882	12.48309	28.45376	5.74011	3.29239	9.441	9.57187	0.08357	4.63122	4.90177	30.13204	12.81064	8.09689	8.70865	11.19789	21.62716	22.30882	25.47128	6.7385	0.05758	8.61988	2.29867	1.93652	15.22107	4.27314	11.04615	12.96364	42.36151	15.10088	28.99753	22.59672	3.46429	33.65244	18.96906
k__Bacteria|p__Fusobacteria	0.29202	0.27168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13371	1.28475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00891	0.00772	0.0	0.0	0.0	0.00383	0.00637	0.0	0.0	0.03015	0.61062	0.00482	0.0	0.1	0.18128	0.0	0.0	0.0	0.0	0.0	0.00355	0.0	0.0	0.00453	0.00023	0.0	0.0	0.0	0.0	0.0384	0.00755	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00429	0.0	0.0	0.03895	0.01824	0.0	0.0	0.0169	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.00296	0.0	0.0	0.0	0.0	0.0	0.0	0.01467	0.0	0.0	0.0	0.07717	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00579	0.0	0.0	0.0	0.0	0.00259	0.0	0.0133	0.0	0.00427	0.0	0.0	0.05435	0.02896	1.94761	0.03399	0.14421	0.0	0.0	0.11344	0.0	0.00621	0.0	0.05533	0.0	0.0	0.0	0.0346	4.86292	0.94693	0.0	0.0	0.05213	0.0	0.0	0.0	0.38615	0.0	0.4171	0.0	0.0	0.0	0.0	0.01185	0.0	0.0	0.27631	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08471	0.11366
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	54.83517	3.83462	1.94714	0.0	1.50941	0.0	0.63158	4.10771	22.06421	0.62876	6.96545	0.4702	19.36441	2.41456	3.20528	0.79256	1.92424	70.13406	34.7006	0.28601	0.83006	0.15421	1.23963	51.44659	79.92456	33.99265	7.8604	2.66839	71.42145	0.0	2.09566	0.0	0.6476	5.81963	0.02483	0.00859	9.20255	20.1144	28.07744	92.68636	0.28073	17.14762	0.36859	3.48493	1.5005	6.04863	81.08058	13.30334	0.01177	88.42076	38.39747	0.77606	0.25456	5.22905	0.00359	27.41446	66.0251	16.3873	26.1713	0.80378	0.32367	2.51881	5.09279	1.47862	2.53992	0.08659	13.05465	2.79628	1.40763	1.58733	5.27277	16.77793	4.64223	52.76529	0.05231	0.27993	0.09135	1.36741	0.90766	0.01485	0.61788	2.11025	0.69245	15.81036	32.30605	63.87699	6.4423	21.58373	25.18792	9.15019	0.07087	13.28601	0.01812	0.36102	0.07846	80.05252	2.89509	6.25414	3.63417	1.25719	0.56941	8.97051	22.16272	2.71867	86.70122	0.0362	67.90263	0.14191	96.19797	1.71851	15.67606	0.01042	7.35018	0.27579	9.94992	9.00933	3.33989	0.02836	7.84291	15.45464	12.67583	46.40389	19.15364	18.53111	24.60298	1.55687	33.30117	0.31525	29.91525	50.62689	29.55958	8.03983	0.3514	0.06822	62.41926	11.12497	27.57648	0.06839	97.26069	19.3939	0.71171	0.99147	10.21627	38.00599	12.87995	18.4662	0.39794	0.37144	29.52367	37.9572	88.92973	27.0352	68.41265	7.63168	0.0	15.45191	9.94177	1.03554	0.0	3.40046	0.02762	0.00477	7.68185	0.25509	3.61339
k__Bacteria|p__Firmicutes|c__Bacilli	27.76472	11.322	0.03869	0.35609	5.03122	15.14708	15.80495	9.9577	0.30354	10.74834	3.99359	0.8644	3.05411	1.22311	0.35379	96.23934	1.62136	1.7326	32.03606	1.24096	0.96822	0.34549	1.47483	3.72287	3.80366	5.08292	35.33805	1.74863	0.00365	0.10581	1.71529	16.31324	2.2326	26.95182	0.3408	4.46876	3.07666	0.66289	0.51134	5.17597	0.65614	9.36673	1.89727	3.84016	0.91129	0.41232	1.39916	3.41261	1.88721	0.56734	0.61589	0.15302	7.88008	0.32598	0.09737	4.5557	2.38288	0.35933	0.05377	0.2943	1.47149	0.07229	0.48567	0.59638	0.10797	0.42352	3.67777	54.20525	1.30212	1.25493	0.03528	1.21405	65.88488	0.32817	0.78505	3.12432	22.61154	0.01471	0.26545	2.82493	38.46227	2.441	1.16841	22.97629	0.06852	0.86372	0.17122	14.11205	0.99316	12.77337	0.06554	0.21108	0.54371	1.75903	1.7636	0.14511	2.88713	0.24501	1.00451	0.00425	0.08888	3.68349	7.03061	27.98735	3.41572	0.24946	0.23502	8.84826	0.24518	7.75917	4.95441	1.77273	8.43885	5.17176	59.92979	3.33242	0.31204	0.82372	4.03697	5.34357	1.57825	0.01102	16.14862	12.63745	9.17755	2.5097	2.64946	0.09255	7.20939	0.22591	8.03659	2.25695	2.37995	2.14648	2.81098	0.69639	0.45488	0.28478	0.4782	2.54319	0.04243	0.16394	2.6114	13.44273	0.35303	4.71571	0.56411	0.46995	1.03776	1.01202	7.23365	0.29982	1.0297	1.94941	22.51684	7.19936	1.73796	3.56253	25.01493	2.35121	0.77979	0.05131	0.85752	0.30729	4.30294
k__Bacteria|p__Firmicutes|c__Negativicutes	15.23784	3.6311	5.64632	3.24533	7.16494	0.0	3.55433	0.03438	0.53836	9.6097	1.32546	1.72505	0.74973	1.99223	1.43568	1.88457	32.9223	3.22408	9.3166	41.97883	2.73428	12.26913	12.37166	17.43821	1.1344	8.35391	0.24569	2.64554	2.64828	0.62373	3.12931	7.65772	3.2597	3.5349	3.9675	4.17843	2.51744	5.44249	4.60474	0.08285	0.23893	3.896	3.78236	12.95625	2.12035	23.6354	0.63816	0.00621	0.52591	4.59666	3.51125	15.64079	5.54826	4.82557	0.63099	1.71886	2.00698	6.90366	4.75416	6.01017	20.13011	6.23007	1.07443	10.70579	0.7118	1.7737	1.59442	0.37793	15.21553	2.91153	1.78087	1.13212	0.59332	7.37626	12.58224	0.30445	5.96723	2.1009	1.21033	1.6752	0.71664	11.70082	1.18582	0.71893	0.61331	1.08307	9.92115	0.15091	22.85807	9.01809	1.07544	0.71759	4.81817	1.55747	2.22507	3.32464	0.0758	17.49947	8.40505	13.20292	3.7919	6.17827	16.37976	34.61913	0.63092	0.1518	0.02279	0.27804	1.25365	7.05783	0.47289	8.98353	15.58806	18.01017	3.77418	0.67697	3.30547	6.0901	8.32357	1.65668	1.54142	2.85534	16.35137	38.47622	1.06392	27.62133	1.56435	0.52757	0.76051	22.42425	10.88207	1.07262	1.67775	8.05186	1.70059	0.42484	0.01037	26.22817	0.0191	0.82182	2.47038	9.75082	3.19002	7.68801	3.0598	4.69241	0.07336	0.0301	0.86227	1.33682	3.22524	1.95483	0.91463	25.41512	18.84787	33.07193	1.27835	8.06226	0.00971	34.9228	0.76977	9.0875	1.85891	1.51049	5.05524
k__Bacteria|p__Firmicutes|c__Clostridia	1.45173	6.1516	11.92127	59.71636	14.73265	11.50783	44.59316	16.29924	2.37063	11.21911	17.08877	51.97911	5.25445	29.82444	34.15371	0.03588	37.80172	22.61637	4.03094	20.98834	19.22078	66.39897	58.72671	3.76519	15.1117	48.99079	23.55828	60.09613	5.35696	20.84341	67.98855	32.39302	9.24914	28.19377	24.94247	67.13897	29.79268	49.08356	16.24493	0.04799	59.59228	26.19583	17.54535	7.58185	33.53644	31.72972	9.04733	31.36652	56.34093	5.48215	38.02824	20.39791	35.02451	14.39751	45.87425	30.47332	6.21752	42.07002	57.1927	18.86629	40.91641	12.78861	33.47079	30.94644	23.48638	55.70398	75.3771	4.25441	46.74569	17.1856	15.10176	50.32914	0.75755	17.69048	35.97619	21.07903	33.27158	3.03444	46.33158	13.69507	31.71699	36.91167	14.97323	29.74226	41.73113	10.56389	66.89976	43.43871	38.50931	26.09035	69.86019	22.25221	31.0534	24.86171	37.27232	15.71941	24.97608	50.63509	18.38715	14.04435	35.39396	21.7989	44.06786	5.34823	9.00746	58.39044	28.66372	38.32518	2.22214	34.98892	54.18114	63.45524	41.56431	8.04551	0.00023	9.93294	55.7559	30.35665	32.47235	2.10911	46.81623	46.52548	16.43536	13.13879	31.68417	23.97135	9.8706	54.22554	34.78273	25.56754	44.55875	68.37285	35.01659	19.76687	4.79147	70.71991	40.25422	44.95603	1.79327	60.20075	24.44944	31.55127	39.58225	5.63742	33.91389	10.31254	74.87047	74.57393	22.43127	32.06081	0.48604	27.32248	25.61925	10.61955	38.84819	2.10085	41.80283	44.46674	29.83966	21.23961	66.02031	61.91703	85.52211	58.77251	60.59342
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	0.29202	0.27168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13371	1.28475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00891	0.00772	0.0	0.0	0.0	0.00383	0.00637	0.0	0.0	0.03015	0.61062	0.00482	0.0	0.1	0.18128	0.0	0.0	0.0	0.0	0.0	0.00355	0.0	0.0	0.00453	0.00023	0.0	0.0	0.0	0.0	0.0384	0.00755	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00429	0.0	0.0	0.03895	0.01824	0.0	0.0	0.0169	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.00296	0.0	0.0	0.0	0.0	0.0	0.0	0.01467	0.0	0.0	0.0	0.07717	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00579	0.0	0.0	0.0	0.0	0.00259	0.0	0.0133	0.0	0.00427	0.0	0.0	0.05435	0.02896	1.94761	0.03399	0.14421	0.0	0.0	0.11344	0.0	0.00621	0.0	0.05533	0.0	0.0	0.0	0.0346	4.86292	0.94693	0.0	0.0	0.05213	0.0	0.0	0.0	0.38615	0.0	0.4171	0.0	0.0	0.0	0.0	0.01185	0.0	0.0	0.27631	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08471	0.11366
