clade_name	ACC0147	ACC0163	ACC0048	ACC0102	ACC0034	ACC0138	ACC0096	ACC0049	MiRES012	ACC0080	ACC0032	ACC0108	ACC0097	MiRES005	ACC0265	ACC0110	ACC0192	ACC0013	ACC0114	ACC0136	MiRES011	ACC0169	MiRES003	ACC0135	ACC0066	MiRES009	MiREL020	MIRES007	ACC0009	ACC0031	MiRES004
k__Bacteria	97.13036	100.0	100.0	100.0	100.0	100.0	99.98897	100.0	100.0	99.99985	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.99984	100.0	99.93213	100.0	100.0	100.0	100.0	100.0	100.0	100.0
k__Archaea	2.86964	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria	59.48699	8.34259	1.48903	0.30399	11.32214	6.8094	4.00721	34.23231	1.72453	6.678	8.08959	20.81364	4.08993	7.8329	0.55295	32.60723	0.2035	23.01364	20.67898	25.24252	8.78329	5.43827	17.93737	0.13387	36.75629	6.10601	7.65744	6.82007	34.13114	16.22178	6.00816
k__Bacteria|p__Firmicutes	29.78164	47.31194	31.32961	54.64071	47.94845	66.03418	69.90355	55.31907	27.30706	69.06144	58.94792	71.05084	77.8434	69.59981	70.17547	56.62115	59.34078	43.31957	50.45153	71.01317	29.30224	66.64501	67.62784	65.71466	61.50064	51.26761	65.69039	55.52689	33.03861	59.57545	61.95746
k__Bacteria|p__Bacteroidetes	7.0434	43.13717	59.49045	23.80645	11.26181	26.04312	13.27425	9.92915	53.1816	20.31137	26.62647	6.82953	5.26406	21.86019	27.85774	6.87233	0.4261	32.47852	27.32215	3.27847	51.64125	23.25525	11.60625	9.49629	0.30347	19.81076	22.51646	32.83607	30.11438	17.66117	28.33696
k__Archaea|p__Euryarchaeota	2.76019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria	0.73529	1.14952	7.6909	21.24885	29.45743	1.1133	12.64514	0.45199	1.78459	3.94604	6.3091	0.42673	12.80161	0.59493	1.41365	0.34891	40.02962	1.18099	1.46884	0.46585	9.98677	4.66131	2.6568	24.57048	1.35623	2.98713	3.98591	4.59826	2.70881	2.59112	3.26323
k__Archaea|p__Thaumarchaeota	0.10945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Synergistetes	0.08304	0.05878	0.0	0.0	0.01017	0.0	0.0	0.0	7.20234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00159	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia	52.53338	4.2472	0.81857	0.24891	6.60882	5.58247	2.31067	29.38924	0.31124	4.15845	6.86408	12.59154	2.18342	7.51786	0.07264	21.84872	0.16629	22.81166	6.63244	17.81364	8.01655	0.05002	15.48292	0.12271	35.39681	5.03128	4.23376	5.59161	32.1132	2.00045	3.80794
k__Bacteria|p__Firmicutes|c__Clostridia	19.67804	40.239	22.49503	49.01996	35.57614	55.5112	8.32152	47.58985	4.01069	62.72541	46.23036	63.70833	39.92263	64.63103	56.66027	41.09804	12.25649	41.05945	34.79749	67.35011	2.95837	63.33562	55.6473	42.90769	30.04435	42.5659	59.43026	47.96183	28.28421	39.63517	50.55474
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	7.00918	43.13717	59.49045	23.80645	11.26181	26.04312	13.27425	9.92915	52.435	20.31137	26.55984	6.82953	4.67013	21.86019	27.85774	6.87233	0.4261	32.47852	27.32215	3.27847	51.64125	23.25525	11.60625	9.49629	0.30347	19.81076	22.51646	32.83607	30.11438	17.66117	24.51956
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	6.25255	2.4514	0.67046	0.05508	4.71332	1.22693	1.69653	4.84307	1.41328	2.51954	1.22551	8.17537	1.90651	0.31503	0.48031	10.7585	0.03721	0.20198	14.04654	7.42887	0.76675	5.38825	2.27412	0.01115	1.35948	1.07473	3.42368	1.22846	2.01793	14.22132	2.1921
k__Bacteria|p__Firmicutes|c__Bacilli	5.05362	4.06315	5.86133	1.18353	1.93243	2.95491	0.22131	4.07948	0.32564	1.31862	1.31504	1.22853	0.28644	0.22928	2.75148	12.85063	46.89159	1.68968	7.08356	1.18082	1.13013	0.53065	3.30574	7.83738	21.30623	0.91513	2.06524	1.55364	0.30157	0.46639	0.23421
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2.76019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB4806	1.58142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.08017
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.88648	0.32638	1.24165	0.13715	0.36329	3.90327	0.00278	0.94325	0.00151	1.75438	1.2848	0.631	2.27664	0.4903	9.10656	0.52894	0.05349	0.25699	0.39395	0.35797	0.01088	0.63414	3.59223	11.07491	2.51781	2.56014	3.3305	0.3217	3.81249	0.91218	0.61692
k__Bacteria|p__Proteobacteria|c__CFGB3069	0.50264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16974
k__Bacteria|p__Firmicutes|c__CFGB76783	0.47826	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0226	0.0	0.0	0.11084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.90961
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.3966	0.77378	1.95625	0.01072	0.33023	0.3291	0.05827	0.33372	1.16349	0.35757	1.20425	0.18316	0.06981	0.0	0.0	0.04879	0.0	0.37585	0.1342	0.00019	0.0	0.0	0.51007	0.0	0.0	0.07241	0.43239	1.21022	0.0	1.13229	0.61773
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.32239	0.34422	3.05093	21.23813	29.0556	0.00429	12.56456	0.02929	0.43192	3.4683	3.84536	0.05402	12.50155	0.5906	1.23821	0.2633	40.02962	0.2913	0.12903	0.06001	3.93098	4.48069	2.14673	24.57048	1.35437	0.5569	3.08488	1.01182	1.86205	1.19887	1.8109
k__Bacteria|p__Firmicutes|c__CFGB1213	0.23547	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0268
k__Bacteria|p__Firmicutes|c__CFGB1011	0.17307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01064	0.00165	0.0	0.0	0.10867	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02065	0.0	0.0	0.0	0.0	0.05573
k__Bacteria|p__Firmicutes|c__CFGB38642	0.14243	0.03373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01666	0.0	0.00625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51106
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified	0.10945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Synergistetes|c__Synergistia	0.08304	0.05878	0.0	0.0	0.01017	0.0	0.0	0.0	7.20234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00159	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	0.07955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00025	0.20564	0.0	0.10253	0.0	0.0	0.27243	0.0	0.00597	0.06622	0.0	0.0	0.0	0.02596	0.0	0.0	0.21577	0.0	0.26051	0.0	0.0	0.50527
k__Bacteria|p__Firmicutes|c__CFGB10477	0.06343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2983	0.05947	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3048	0.05406	0.21858	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3071	0.04647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2984	0.0427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3043	0.04153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__CFGB59744	0.03423	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
