taxonomy	SCD66	SCD67	SCD68	SCD69	SCD70	SCD73	SCD72	SCD82	SCD75	SCD76	SCD77	SCD83	SCD137	SCD79	SCD80	SCD84	SCD81	SCD106	SCD88	SCD91	SCD86	SCD138	SCD107	SCD90	SCD87	SCD92	SCD154	SCD93	SCD94	SCD139	SCD109	SCD129	SCD110	SCD97	SCD98	SCD99	SCD112	SCD100	SCD122	SCD101	SCD130	SCD103	SCD104	SCD140	SCD102	SCD105	SCD113	SCD145	SCD156	SCD141	SCD114	SCD115	SCD116	SCD111	SCD147	SCD142	SCD143	SCD117	SCD132	SCD124	SCD125	SCD126	SCD118	SCD119	SCD150	SCD157	SCD127	SCD133	SCD128	SCD136	SCD144	SCD151	SCD152	SCD153	CD001	CD002	CD003	CD004	CD005	CD006	CD007	CD008	CD009	CD010	CD011	CD012	CD013	CD014	CD015	CD016	CD017	CD018	CD019	CD020	CD021	CD022	CD023	CD024	CD025	CD026	CD028	CD029	CD030	CD031	CD032	CD033	CD034	CD035	CD036	CD037	CD038	CD039	CD040	CD041	CD042	CD043	CD044	CD045	CD046	CD047	CD048	CD049	CD050	CD051	CD052	CD053	CD054	CD055	CD056	CD057	CD059	CD060	CD061	CD062	CD063	CD064	CD065	CD066	CD067	CD068	CD069	CD070	CD071	CD072	CD073	CD074	CD075	CD076	CD078	CD079	CD080	CD081	CD082	CD083	CD084	CD085	CD086	CD087	CD088	CD089	CD090	CD091	CD092	CD093	CD094	CD095	CD096	CD097	CD098	CD099	CD100	CD101	CD102	CD103	CD105	CD106	CD107	CD108	CD109	CD112	CD113	CD114	CD115	CD116	CD118	CD119	CD120	CD121	CD122	CD123	CD124	CD125	CD126	CD127	CD128	CD129	CD130	CD131	CD132	CD133	CD134	CD135	CD136	CD137	CD138	CD139	CD140	CD141	CD142	CD143	CD144	CD145	CD146	CD147	CD151	CD153	CD154	CD155	CD156	CD157	CD158	CD159	CD161	CD162	CD163	CD164	CD167	CD168	CD169	CD171	CD172	CD173	CD174	CD175	CD180	CD181	CD182	CD183	CD184	ACC0147	ACC0163	ACC0048	ACC0102	ACC0034	ACC0138	ACC0096	ACC0049	MiRES012	ACC0080	ACC0032	ACC0108	ACC0097	MiRES005	ACC0265	ACC0110	ACC0192	ACC0013	ACC0114	ACC0136	MiRES011	ACC0169	MiRES003	ACC0135	ACC0066	MiRES009	MiREL020	MIRES007	ACC0009	ACC0031	MiRES004
k__Bacteria	100	99.89108	99.99381	100	100	100	100	100	100	100	100	99.98404	100	100	99.93844	100	99.99929	100	100	100	100	100	100	100	99.98	100	100	100	100	99.98061	100	100	99.99785	99.96474	100	100	99.98445	100	100	100	100	100	100	99.99382	99.9994	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.95134	100	99.98732	100	100	100	100	100	100	99.9659	100	100	100	100	99.99855	100	100	99.98129	100	100	99.91106	100	99.95392	100	100	100	100	100	99.777	100	100	99.9939	100	85.78349	100	100	99.97238	100	100	100	99.98987	99.79962	100	100	100	99.94097	99.94565	100	99.98176	100	100	100	99.9952	100	100	100	99.97818	100	100	100	100	99.9543	100	99.77671	100	100	100	100	99.99947	100	100	100	100	100	100	100	100	99.99943	100	100	100	100	100	100	100	100	100	100	100	100	99.97984	100	100	100	99.95355	100	99.93342	100	100	100	100	100	100	99.88198	99.95517	99.97727	100	100	99.94595	100	100	62.87274	100	100	100	99.99886	100	100	99.86412	100	100	99.93794	100	99.9876	100	99.987	100	100	100	99.99637	100	100	100	100	100	99.80254	100	99.93438	100	100	100	100	100	99.95993	100	100	100	100	100	99.97957	100	100	100	100	99.94521	100	100	100	99.98729	100	99.95675	99.78758	99.78412	100	100	100	100	100	100	100	100	100	99.91482	100	100	99.99567	100	100	99.97872	100	97.13036	100	100	100	100	100	99.98897	100	100	99.99985	100	100	100	100	100	100	100	100	100	100	100	99.99984	100	99.93213	100	100	100	100	100	100	100
k__Bacteria|p__Firmicutes	58.77065	58.6636	73.64055	66.20655	64.44409	56.56326	69.07592	66.10382	92.58947	85.92145	70.37862	72.82326	71.69093	73.7012	86.11827	33.93118	51.51776	57.17133	80.18821	65.46313	61.36747	86.57852	78.1432	82.59906	54.88514	79.90111	84.43914	66.09249	53.7203	22.20974	52.76109	65.76196	40.79638	88.87937	42.59127	83.27738	52.9068	92.59009	65.57434	89.88343	71.3529	77.02046	81.44815	79.79921	47.79362	96.54101	81.75961	79.99934	64.73099	76.94591	64.44615	87.41609	89.42584	71.75031	77.07056	52.97796	75.95977	69.72859	81.30868	88.14813	53.96346	68.75541	73.85991	86.29817	65.13911	80.74692	48.69039	82.22248	52.3204	56.85474	79.22315	89.10418	84.69272	87.6952	44.47376	22.13129	18.90592	65.38684	27.74492	26.65491	64.00681	26.51085	3.94394	41.61329	23.04417	55.7098	14.56377	35.30823	36.06349	98.1598	72.6108	27.8988	45.65222	64.4588	23.06505	79.23027	75.17785	24.92628	20.04976	62.60499	59.44132	65.86688	9.13099	22.43993	76.29099	60.44504	16.54368	60.64608	32.29761	75.93269	40.80569	55.21642	21.39429	5.32381	60.57223	39.82429	24.36788	24.37826	38.85833	56.55797	14.27	37.47498	59.59003	10.64615	42.25474	36.36764	50.76638	19.63847	47.299	37.09031	10.72814	49.97579	64.39174	26.567	63.45917	20.81334	37.13904	46.6292	33.70769	60.98865	84.22502	59.24529	63.42155	22.88695	19.05789	52.91228	67.23575	25.46439	52.82279	26.15052	69.60036	6.65079	49.99918	18.92114	74.09081	51.30843	20.52772	53.51882	45.42511	17.80934	77.50389	59.8183	64.30133	48.98616	71.05033	24.36399	38.4351	28.17822	44.10346	19.18916	29.00015	71.37024	31.55297	27.76117	41.25089	34.11159	67.59159	68.10685	13.27435	59.37934	29.57572	55.34374	3.72159	50.43889	62.19815	80.57812	65.77449	32.1598	63.7042	49.55983	59.79139	51.26632	45.17414	10.87465	50.07237	50.20223	49.13227	64.60789	45.85963	58.95571	16.9326	56.81868	47.38012	48.39454	68.45294	71.82638	39.18657	30.12278	10.27364	74.95986	41.02847	77.67539	2.38545	65.32456	27.18987	42.33304	46.68405	26.97469	39.05621	19.88005	75.64758	75.17967	25.14091	37.37432	11.00084	30.86834	28.49539	37.99438	81.34014	44.3689	50.63021	56.58254	57.29864	59.26982	67.61235	71.4438	88.24544	61.2363	72.01206	29.78164	47.31194	31.32961	54.64071	47.94845	66.03418	69.90355	55.31907	27.30706	69.06144	58.94792	71.05084	77.8434	69.59981	70.17547	56.62115	59.34078	43.31957	50.45153	71.01317	29.30224	66.64501	67.62784	65.71466	61.50064	51.26761	65.69039	55.52689	33.03861	59.57545	61.95746
k__Bacteria|p__Actinobacteria	33.51467	30.9001	8.77332	28.25868	33.54768	6.16201	23.32551	25.40395	3.12319	12.27609	17.01662	6.58923	23.31479	18.8949	10.9457	48.37129	30.64921	14.24846	14.61396	1.94415	33.19047	7.1317	20.57861	11.62037	8.37849	12.96127	4.56033	10.16322	44.48339	70.84393	0.76527	7.49939	7.12071	5.16987	29.5333	9.94961	39.00126	0.99269	13.77042	9.0897	11.7001	18.42434	10.01311	15.5412	41.58002	2.02101	12.62065	4.54927	28.32013	18.76594	25.803	1.17318	5.09005	19.9619	12.99232	6.06149	4.48774	8.70988	10.63589	2.83937	3.84445	30.00488	23.05112	3.862	9.45656	11.58162	46.38488	13.52135	37.08058	0.58689	6.11108	0.14026	11.44209	5.73723	0.30347	3.02086	7.80943	11.61108	2.3768	73.22477	18.58159	69.19973	0.182	4.54995	10.24422	17.02984	50.50469	34.24714	11.24152	0.32902	16.81632	0.19637	4.14592	10.54679	3.15924	19.09087	2.14806	22.93507	0.02568	0.26594	1.69548	11.42785	0.69445	8.05383	12.97441	35.99592	14.82184	18.16827	25.42866	1.15098	31.39877	13.97325	12.49567	1.39928	10.43398	29.69665	11.52034	41.84874	12.37404	8.77554	4.60372	49.21377	37.98193	0.93309	5.31788	9.57647	27.78381	4.36736	28.47671	21.42243	0.14698	1.3264	1.06261	5.78216	26.46633	4.78545	16.92832	21.26	8.6959	6.37733	1.08458	17.10986	10.45308	15.67423	4.35761	13.0391	6.97449	0.15043	31.31565	20.68261	11.92002	11.61277	5.68451	65.91812	10.69419	40.6379	37.39958	0.21147	1.97146	8.08459	8.26718	16.31465	4.55649	38.83762	9.861	1.68466	26.88578	69.81626	40.6086	0.53164	7.19811	9.86576	22.84052	15.30259	38.46804	9.17524	4.94306	21.89192	0.01776	39.82731	1.7098	30.21841	0.06804	39.42675	1.43347	3.26359	10.7393	45.87086	21.11326	22.37655	26.14507	37.58623	11.96129	1.6746	28.4441	0.91449	29.00244	9.20276	1.0237	4.5545	1.35291	24.31024	0.18238	0.63395	1.64093	18.25882	12.48309	28.45376	5.74011	3.29239	9.441	9.57187	0.08357	4.63122	4.90177	30.13204	12.81064	8.09689	8.70865	11.19789	21.62716	22.30882	25.47128	6.7385	0.05758	8.61988	2.29867	1.93652	15.22107	4.27314	11.04615	12.96364	42.36151	15.10088	28.99753	22.59672	3.46429	33.65244	18.96906	59.48699	8.34259	1.48903	0.30399	11.32214	6.8094	4.00721	34.23231	1.72453	6.678	8.08959	20.81364	4.08993	7.8329	0.55295	32.60723	0.2035	23.01364	20.67898	25.24252	8.78329	5.43827	17.93737	0.13387	36.75629	6.10601	7.65744	6.82007	34.13114	16.22178	6.00816
k__Bacteria|p__Bacteroidetes	5.77258	0.51801	16.46186	4.55629	0.41822	1.9995	0.30697	7.23064	0.17197	0.18354	0.07506	11.04358	3.6794	0.45788	0	17.08755	13.8458	2.18974	3.00687	0.37091	1.72122	2.46047	0.13978	3.17978	21.81528	5.44448	1.40766	17.16573	1.44915	0	6.25948	15.35471	12.61162	2.18998	5.85364	2.4047	6.96432	2.97952	10.98836	0.83723	8.15032	3.87257	7.22595	3.45837	2.07038	0.9521	4.7055	13.70189	6.38162	1.13615	5.75605	3.26467	2.94629	3.6587	6.04969	35.58635	13.19389	14.96664	7.23568	5.14484	2.95506	0	0.71697	4.03324	19.7938	5.64101	4.2352	0.88712	6.00015	9.66188	13.73996	2.72192	3.06487	6.45216	0	69.03205	59.44191	22.35818	67.74006	0	15.17198	0.07084	73.80985	52.31895	58.60121	26.79017	15.4366	18.24319	47.02873	0.71861	4.68114	1.52889	0	24.29932	72.85051	1.4862	21.18295	0.69206	0	3.1263	20.07599	19.99492	10.03058	69.28039	7.81571	3.06067	67.97572	6.22787	41.37418	22.72609	14.32252	10.03231	36.20812	0.25667	25.42661	6.45046	63.7432	21.10143	46.87625	28.61786	0	0.00436	2.19072	0	12.52064	51.30965	21.07177	70.76459	24.2207	14.01862	23.04761	31.20758	8.11816	66.80514	9.5396	71.86791	40.66483	29.50963	24.31259	31.21864	1.63148	20.51646	24.61207	15.53801	70.98893	17.06645	21.14754	21.60299	15.08898	52.86678	18.38827	78.71477	42.9955	14.52848	12.93678	5.78612	41.24488	30.44951	15.92779	10.22907	7.78663	0.8257	5.80947	2.96351	18.89535	59.68355	33.89767	1.16325	14.88642	0.14952	23.23276	11.36064	41.56013	54.91818	19.25918	45.84571	5.28748	7.14669	0.00668	0.75715	0.42687	14.16887	0	8.29961	20.40321	16.14787	13.40129	21.69356	5.21059	18.53724	10.57455	11.05188	33.73724	71.15064	8.58128	0.07462	2.5237	7.26845	28.51369	32.77028	48.02784	18.42204	22.17595	0.34462	0.026950000000000002	0.13164	47.97893	40.79783	21.40667	3.4685	18.81436	12.56072	0.25422	9.97376	66.06175	26.49078	30.08049	25.19298	39.05933	49.28569	1.53022	1.39819	18.56273	16.61774	0	33.47657	0.7933	50.66555	3.13784	35.90605	27.38417	29.3331	0.19943	22.20493	3.27586	5.10226	0.60842	4.5475	5.19716	7.0434	43.13717	59.49045	23.80645	11.26181	26.04312	13.27425	9.92915	53.1816	20.31137	26.62647	6.82953	5.26406	21.86019	27.85774	6.87233	0.4261	32.47852	27.32215	3.27847	51.64125	23.25525	11.60625	9.49629	0.30347	19.81076	22.51646	32.83607	30.11438	17.66117	28.33696
k__Bacteria|p__Bacteria_unclassified	1.7623	0	0	0	0	0	0	0.0275	0	0	0.48405	0.28075	0.64021	0	0	0	0	0	0	0	0.29063	0	0	1.38856	0	0	0	0	0	0	0	0	0	0.41465	0	1.83906	0	0	0	0	0.5745	0	0.01516	0.47535	0	0	0	0	0	0.07948	0	0	0	0	0.85305	0.13163	0	0	0	0	0	0	0.1297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17385	0	0	0	0	0	0	0	0	0	0	0.1498	0.02927	0	0	0.10252
k__Bacteria|p__Proteobacteria	0.16394	9.67577	0.92759	0.93907	0.61453	1.2974	7.07829	1.23355	3.57555	1.60281	12.01781	8.65477	0.64608	6.88637	2.8698	0.54328	0.52096	23.68706	1.37192	9.15334	1.44648	3.22488	0.95601	1.20727	14.90101	1.5994	7.85642	6.4345	0.30292	6.91399	40.16036	11.10422	2.31419	1.09011	4.63884	0.53372	1.09325	3.42859	3.7386	0.16232	8.21272	0.62996	0.59111	0.69784	8.43853	0.46294	0.9134	1.33122	0.5555	3.06452	3.97751	2.62745	2.53305	3.24916	3.03288	4.72861	6.31115	3.27173	0.80871	3.25077	12.5488	1.17971	2.23151	5.71388	5.57134	2.02967	0.67385	3.27645	4.54916	32.89311	0.86812	8.02028	0.77686	0.07918	54.93075	5.44229	4.63198	0.6439	2.13822	0.03137	2.23962	4.1725	22.06421	1.51781	6.96545	0.4702	19.49495	11.97845	3.20528	0.79256	5.88563	70.15043	34.7006	0.69305	0.92521	0.16504	1.49114	51.44659	79.92456	33.99265	18.58683	2.70071	72.82616	0.22585	2.85928	0.44402	0.65493	6.24468	0.89955	0.00859	13.44286	20.16261	29.8971	93.02023	3.40377	17.45571	0.36859	12.671569999999999	1.89139	6.04863	81.08058	13.30334	0.01404	88.42076	39.90203	2.72978	0.37803	5.22905	0.00359	27.46864	66.03887	17.48269	26.42749	0.84569	0.53489	2.53331	5.15824	2.58609	4.2507	0.10783	13.05465	3.12839	1.5133	1.75533	5.57733	16.98217	4.64223	52.76529	0.77258	0.27993	0.09135	1.6236	1.32082	0.58581	2.21805	2.20097	0.82782	15.81036	34.67268	63.87699	6.4423	23.0119	25.18792	9.16385	0.17059	14.25314	0.78145	0.78823	0.40152	80.05252	3.3799	7.34818	4.04639	2.01806	1.02075	10.86746	22.17787	2.71867	86.70122	0.0362	68.22555	0.26319	96.19797	1.80052	15.95217	0.01042	10.08233	0.27579	9.95502	9.52637	3.48471	0.09557	9.12733	16.24576	12.67583	46.86105	19.24198	18.77669	24.60298	3.64877	33.57321	0.44905	30.21527	50.62689	29.82386	9.7813	0.3514	0.62563	62.52455	13.41633	29.76013	0.19201	97.27677	19.96354	1.8466	1.04415	10.42481	39.3272	13.17581	19.15212	0.98263	0.89744	30.82508	39.26944	88.92973	27.0352	68.41265	9.12723	0.30095	15.45191	10.93947	1.03554	0.14042	3.42437	0.10992	0.85723	7.68185	0.45777	3.70805	0.73529	1.14952	7.6909	21.24885	29.45743	1.1133	12.64514	0.45199	1.78459	3.94604	6.3091	0.42673	12.80161	0.59493	1.41365	0.34891	40.02962	1.18099	1.46884	0.46585	9.98677	4.66131	2.6568	24.57048	1.35623	2.98713	3.98591	4.59826	2.70881	2.59112	3.26323
k__Bacteria|p__Candidatus_Saccharibacteria	0.01585	0.1336	0.00886	0.03193	0.03347	0.06662	0.19402	5.4e-4	0	0.01611	0	0.01241	0.00423	0.00416	0.00467	0.06375	0.00131	0.03699	0.00631	0.01064	0.02817	0.02338	0.04474	0.00495	8e-5	0.09243	0.00588	0.01653	0.04424	0.01296	0.00833	0.04793	0.00262	0	0.0089	0	0.01882	0.00911	0	0.02732	0.00946	0.004	0.0266	0	0.09226	0.02295	8.3e-4	0.00782	0.01176	0.00458	0.01659	0.00564	0.00476	0.06275	0.0015	0.02829	0.00138	0.02618	0.01105	1.1e-4	0.00449	0.04732	0.0108	0.09084	0.00932	7.9e-4	0.00577	0.02113	0.01561	0.00338	0	0.012070000000000001	0	0.03477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06748	2.2e-4	0.003	0	0	0.001	0.00388	1.9e-4	0	0	0.00728	0	0	0	0	0	0.01429	7.2e-4	0	0	8.8e-4	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia	50.41775	49.96663	61.67055	50.21544	48.68677	36.95667	54.93954	47.11502	83.85963	3.8367	52.717529999999996	47.77511	53.96399	29.42423	84.97201	21.61236	32.60607	40.99001	75.13166	56.38498	54.83233	73.41032	75.61318	68.81885	8.84816	75.95934	55.04421	40.78029	23.9547	8.9e-4	45.7479	55.73238	0.81811	66.94789	32.33837	65.05333	25.90413	58.64767	12.13529	49.95282	66.0318	70.07131	70.16972	67.05773	32.70742	84.17195	64.17166	73.88716	51.8248	65.46712	43.70349	75.97557	54.25993	51.94051	33.02618	27.77301	16.60066	39.5723	67.47694	71.52137	37.2497	49.20422	42.14345	1.64644	49.7826	39.37498	37.67424	70.32766	21.12381	43.6115	10.24549	81.68556	57.31534	53.29114	1.45173	6.1516	11.92127	59.71636	14.73265	11.50783	44.59316	16.29924	2.37063	11.21911	17.08877	51.97911	5.25445	29.82444	34.15371	0.03588	37.80172	22.61637	4.03094	20.98834	19.22078	66.39897	58.72671	3.76519	15.1117	48.99079	23.55828	60.09613	5.35696	20.84341	67.98855	32.39302	9.24914	28.19377	24.94247	67.13897	29.79268	49.08356	16.24493	0.04799	59.59228	26.19583	17.54535	7.58185	33.53644	31.72972	9.04733	31.36652	56.34093	5.48215	38.02824	20.39791	35.02451	14.39751	45.87425	30.47332	6.21752	42.07002	57.1927	18.86629	40.91641	12.78861	33.47079	30.94644	23.48638	55.70398	75.3771	4.25441	46.74569	17.1856	15.10176	50.32914	0.75755	17.69048	35.97619	21.07903	33.27158	3.03444	46.33158	13.69507	31.71699	36.91167	14.97323	29.74226	41.73113	10.56389	66.89976	43.43871	38.50931	26.09035	69.86019	22.25221	31.0534	24.86171	37.27232	15.71941	24.97608	50.63509	18.38715	14.04435	35.39396	21.7989	44.06786	5.34823	9.00746	58.39044	28.66372	38.32518	2.22214	34.98892	54.18114	63.45524	41.56431	8.04551	2.3e-4	9.93294	55.7559	30.35665	32.47235	2.10911	46.81623	46.52548	16.43536	13.13879	31.68417	23.97135	9.8706	54.22554	34.78273	25.56754	44.55875	68.37285	35.01659	19.76687	4.79147	70.71991	40.25422	44.95603	1.79327	60.20075	24.44944	31.55127	39.58225	5.63742	33.91389	10.31254	74.87047	74.57393	22.43127	32.06081	0.48604	27.32248	25.61925	10.61955	38.84819	2.10085	41.80283	44.46674	29.83966	21.23961	66.02031	61.91703	85.52211	58.77251	60.59342	19.67804	40.239	22.49503	49.01996	35.57614	55.5112	8.32152	47.58985	4.01069	62.72541	46.23036	63.70833	39.92263	64.63103	56.66027	41.09804	12.25649	41.05945	34.79749	67.35011	2.95837	63.33562	55.6473	42.90769	30.04435	42.5659	59.43026	47.96183	28.28421	39.63517	50.55474
k__Bacteria|p__Actinobacteria|c__Actinomycetia	29.63996	21.53877	1.33431	27.10857	27.39162	0.35685	16.36597	18.53195	1.64304	3.88148	11.75371	5.24515	19.14157	18.26135	10.84644	36.17665	23.32517	1.14933	8.15441	1.5376	22.14793	1.84033	11.71049	6.83849	6.98757	4.2299	3.24323	9.32213	39.24127	70.84378	0.2474	2.23201	5.89392	2.57369	3.24554	1.40384	38.46808	0.29544	13.36366	7.70988	9.33931	12.34367	8.30607	12.20447	27.90375	0.79154	9.92714	2.19026	21.40565	7.95201	21.13421	0.06574	0.38589	3.72948	7.11401	4.53858	2.72458	0.27871	3.65595	0.10614	0.93255	29.91199	10.79996	3.17266	8.08865	7.48456	45.44401	12.64571	34.33864	0.34326	4.51999	0.0953	9.8483	0.27203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.53338	4.2472	0.81857	0.24891	6.60882	5.58247	2.31067	29.38924	0.31124	4.15845	6.86408	12.59154	2.18342	7.51786	0.07264	21.84872	0.16629	22.81166	6.63244	17.81364	8.01655	0.05002	15.48292	0.12271	35.39681	5.03128	4.23376	5.59161	32.1132	2.00045	3.80794
k__Bacteria|p__Firmicutes|c__Bacilli	6.0985	3.50971	0.43486	13.87274	1.98019	0.949	3.44777	3.99024	6.20724	18.47085	8.5397	1.75632	4.16968	3.54815	0.30941	5.77827	5.82395	4.90627	0.93281	4.34459	1.20081	5.78176	1.13778	1.63334	0.47876	0.35725	4.27541	4.41777	0.16211	20.47497	1.69726	3.78648	4.07798	2.75344	0.89807	5.30433	1.28721	0.31738	3.08657	9.75614	1.61962	0.73328	1.09052	0.94599	6.61425	1.59421	7.85447	0.12765	5.69898	0.52332	1.12995	0.53021	11.42698	1.72861	6.40962	5.64385	9.57938	13.99477	1.53496	10.98058	1.18797	15.52313	18.63432	0.34919	4.27532	23.27662	0.6954	2.84147	14.92663	5.90566	0.68717	3.26219	16.39185	3.6537	27.76472	11.322	0.03869	0.35609	5.03122	15.14708	15.80495	9.9577	0.30354	10.74834	3.99359	0.8644	3.05411	1.22311	0.35379	96.23934	1.62136	1.7326	32.03606	1.24096	0.96822	0.34549	1.47483	3.72287	3.80366	5.08292	35.33805	1.74863	0.00365	0.10581	1.71529	16.31324	2.2326	26.95182	0.3408	4.46876	3.07666	0.66289	0.51134	5.17597	0.65614	9.36673	1.89727	3.84016	0.91129	0.41232	1.39916	3.41261	1.88721	0.56734	0.61589	0.15302	7.88008	0.32598	0.09737	4.5557	2.38288	0.35933	0.05377	0.2943	1.47149	0.07229	0.48567	0.59638	0.10797	0.42352	3.67777	54.20525	1.30212	1.25493	0.03528	1.21405	65.88488	0.32817	0.78505	3.12432	22.61154	0.01471	0.26545	2.82493	38.46227	2.441	1.16841	22.97629	0.06852	0.86372	0.17122	14.11205	0.99316	12.77337	0.06554	0.21108	0.54371	1.75903	1.7636	0.14511	2.88713	0.24501	1.00451	0.00425	0.08888	3.68349	7.03061	27.98735	3.41572	0.24946	0.23502	8.84826	0.24518	7.75917	4.95441	1.77273	8.43885	5.17176	59.92979	3.33242	0.31204	0.82372	4.03697	5.34357	1.57825	0.01102	16.14862	12.63745	9.17755	2.5097	2.64946	0.09255	7.20939	0.22591	8.03659	2.25695	2.37995	2.14648	2.81098	0.69639	0.45488	0.28478	0.4782	2.54319	0.04243	0.16394	2.6114	13.44273	0.35303	4.71571	0.56411	0.46995	1.03776	1.01202	7.23365	0.29982	1.0297	1.94941	22.51684	7.19936	1.73796	3.56253	25.01493	2.35121	0.77979	0.05131	0.85752	0.30729	4.30294	5.05362	4.06315	5.86133	1.18353	1.93243	2.95491	0.22131	4.07948	0.32564	1.31862	1.31504	1.22853	0.28644	0.22928	2.75148	12.85063	46.89159	1.68968	7.08356	1.18082	1.13013	0.53065	3.30574	7.83738	21.30623	0.91513	2.06524	1.55364	0.30157	0.46639	0.23421
