"","HK1001","HK1002","HK1003","HK1004","HK1005","HK1006","HK1008","HK1009","HK1012","HK1013","HK1014","HK1015","HK1016","HK1017","HK1018","HK1019","HK1020","HK1022","HK1024","HK1026","HK1027","HK1028","HK1029","HK1030","HK1032","HK1036","HK1037","HK1038","HK1039","HK1041","HK1043","HK1044","HK1045","HK1047","HK1048","HK1052","HK1053","HK1054","HK1055","HK1056","HK1057","HK1058","HK1059","HK1060","HK1061","HK1063","HK1064","HK1065","HK1066","HK1068","HK1069","HK1070","HK1071","HK1072","HK1074","HK1077","HK1078","HK1079","HK1081","HK1083","HK1085","HK1086","HK1087","HK1088","HK1092","HK1093","HK1094","HK1095","HK1098","HK1101","HK1102","HK1104","HK1105","HK1106","CD001","CD002","CD003","CD004","CD005","CD006","CD007","CD008","CD009","CD010","CD011","CD012","CD013","CD014","CD015","CD016","CD017","CD018","CD019","CD020","CD021","CD022","CD023","CD024","CD025","CD026","CD028","CD029","CD030","CD031","CD032","CD033","CD034","CD035","CD036","CD037","CD038","CD039","CD040","CD041","CD042","CD043","CD044","CD045","CD046","CD047","CD048","CD049","CD050","CD051","CD052","CD053","CD054","CD055","CD056","CD057","CD059","CD060","CD061","CD062","CD063","CD064","CD065","CD066","CD067","CD068","CD069","CD070","CD071","CD072","CD073","CD074","CD075","CD076","CD078","CD079","CD080","CD081","CD082","CD083","CD084","CD085","CD086","CD087","CD088","CD089","CD090","CD091","CD092","CD093","CD094","CD095","CD096","CD097","CD098","CD099","CD100","CD101","CD102","CD103","CD105","CD106","CD107","CD108","CD109","CD112","CD113","CD114","CD115","CD116","CD118","CD119","CD120","CD121","CD122","CD123","CD124","CD125","CD126","CD127","CD128","CD129","CD130","CD131","CD132","CD133","CD134","CD135","CD136","CD137","CD138","CD139","CD140","CD141","CD142","CD143","CD144","CD145","CD146","CD147","CD151","CD153","CD154","CD155","CD156","CD157","CD158","CD159","CD161","CD162","CD163","CD164","CD167","CD168","CD169","CD171","CD172","CD173","CD174","CD175","CD180","CD181","CD182","CD183","CD184","ACC0147","ACC0163","ACC0048","ACC0102","ACC0034","ACC0138","ACC0096","ACC0049","MiRES012","ACC0080","ACC0032","ACC0108","ACC0097","MiRES005","ACC0265","ACC0110","ACC0192","ACC0013","ACC0114","ACC0136","MiRES011","ACC0169","MiRES003","ACC0135","ACC0066","MiRES009","MiREL020","MIRES007","ACC0009","ACC0031","MiRES004"
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00261733846716756,1.20534085666436e-05,0,0.00532028292413791,0.00174942947020415,1.25821674138753e-05,0.00308531452930582,0,0,3.32872129474956e-06,0,0,0,0,1.0395705610313e-05,0,0.00981654664686768,0.000341113790227055,0.0242337715817257,0,0,0,0,0,0.00770732870988695,0,0.00683682922523594,0,0.0144371231056488,0,0.00692528926404573,0.0047915106691373,0,0.0151929025340833,0.000318819745801499,0.00567276600579264,0.0016407402466695,0.00152449565780086,0.00444797269765102,0.00310170265454729,0.00163486816805324,0.0036466274221726,0,0,0.0454765009972339,0.00833687713357421,0.00201800428941124,0.00055288723090695,0.000736692051443647,0,0.00167968141378516,0.0241187062311322,0.00512809663354222,0,0,0,0.000795427413728454,0.0103479414516333,0.0029582621524413,0.00580544158663769,0.00128031048314418,0.00249782391323788,0.00114691561680036,0.00150518852696428,0.0149650418813265,0.00286512390115054,0.00162131422114022,0.00569368956561744,0,0.00187918476540858,0,0.00755348115053685,0,0,0,0.000208445672158682,0.0126893689818764,0.00106802668415341,0.0151153734698612,0.0175592475131455,0.000196319806657881,0,0.01016713437028,0.000576546612090159,0.00355026852281376,0,0.0380207914565783,0.00252724431479617,4.54302069875565e-06,0.0118064441229382,0.00998673844567854,0.0301296878076029,0,0,0.000617603530106567,0.00482959973592864,0.00280787594458408,0.00467223020452923,0.00103897534117694,2.48078831077937e-05,0.0357014813797841,0,0.0136936976245643,0,0.0202579078451795,0,0.0109633677178501,0,0,0.00299859966374914,0.0165810921328512,0,2.92017392362443e-06,0.00554500919554852,0.0121877346150534,0.0153739652590584,0.00199005167179191,0.0180825850405237,0,0.0161676591839966,0.000203834859665088,0,0,0.0010280338756766,0.00423097389974472,0,0,0,0.0108525268614166,0.0201707202002983,8.05995550369659e-05,0.000373733545727053,0,0,0.00222490446277445,0.000145660711290447,0.000696712993908261,0.00197757486151979,0.0166152996739519,0.00479529823179359,0.00076721939680998,0.00658399632485885,0.00146522278667234,0,0,0,0,0,0.00434503660360403,0,0.000429834729256459,0.000188117493016972,0.00308215169551662,0.00440187577012775,0.0105584882817767,0.0265045707314284,0.00258563428382877,0.0239788550920158,0,5.53998369303245e-05,0.0402408743247712,0.0139168658037446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae",0,0,0,0,0.00056121480795799,0,1.23237170847672e-05,0,0,0,0,0,0,0,0,0,0.00163046616245161,0.000678653712173183,0.000410854359467334,0,0.00088861587638742,0,9.05499128600989e-05,0,0,0,0,1.6092350920433e-07,0,0,8.61840683982986e-06,0,0.0209728078914498,0.00128348588457716,0.00814664381874741,0,0,0,0.00308482760891221,0,0,3.03898162481857e-05,0.000378883541122388,1.36964157096388e-05,0,0,0,0,0,0,0,0.00252330769481562,0,0,0,0,0,0.000619740046694318,0,0,0.0140739727168558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0049341833657139,0,0,0,0,0,0,0,0,0,0,0,0.00830920902070886,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00159260729010577,0,0,0,0,0.0235725802371961,0,0,0,0,0,0,0.00021045278156509,0.0185607252063846,0,0,0,0,0,0,0,0,8.8860769243031e-07,5.73660717039489e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.068676091281111,0.00433449610742719,0,0,0,0.090597834860014,0,0,0,0,0,0,0,0.00194962271495051,0,0,8.0199940243885e-05,0,0,4.20479194071e-05,0,0,0,0.000106803684621855,7.95343853288552e-05,1.47760329146155e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000117305263795817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.97549759933689e-06,0,0,0,0,3.7263277084132e-05,0,0,0,0,0,0,4.04676408037563e-05,0,0.000101767036436007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58379662366119e-05,0,0.0107030932561989,0,0,1.33925516058424e-05,0,0,0,0.00104531281919938,0,0,0,0,0,0,0,0.000708537657633207,0,0.000979502612284865,0,0,0,0,0
"k__Bacteria|p__Verrucomicrobia",0,0,0,0,0.00056121480795799,0,1.23237170847672e-05,0,0,0,0,0,0,0,0,0,0.00163046616245161,0.000678653712173183,0.000410854359467334,0,0.00088861587638742,0,9.05499128600989e-05,0,0,0,0,1.6092350920433e-07,0,0,8.61840683982986e-06,0,0.0209728078914498,0.00128348588457716,0.00814664381874741,0,0,0,0.00308482760891221,0,0,3.03898162481857e-05,0.000378883541122388,1.36964157096388e-05,0,0,0,0,0,0,0,0.00252330769481562,0,0,0,0,0,0.000619740046694318,0,0,0.0140739727168558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0049341833657139,0,0,0,0,0,0,0,0,0,0,0,0.00830920902070886,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00159260729010577,0,0,0,0,0.0235725802371961,0,0,0,0,0,0,0.00021045278156509,0.0185607252063846,0,0,0,0,0,0,0,0,8.8860769243031e-07,5.73660717039489e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.068676091281111,0.00433449610742719,0,0,0,0.090597834860014,0,0,0,0,0,0,0,0.00194962271495051,0,0,8.0199940243885e-05,0,0,4.20479194071e-05,0,0,0,0.000106803684621855,7.95343853288552e-05,1.47760329146155e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000117305263795817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.97549759933689e-06,0,0,0,0,3.7263277084132e-05,0,0,0,0,0,0,4.04676408037563e-05,0,0.000101767036436007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58379662366119e-05,0,0.0107030932561989,0,0,1.33925516058424e-05,0,0,0,0.00104531281919938,0,0,0,0,0,0,0,0.000708537657633207,0,0.000979502612284865,0,0,0,0,0
"k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae",0,0,0,0,0.00056121480795799,0,1.23237170847672e-05,0,0,0,0,0,0,0,0,0,0.00163046616245161,0.000678653712173183,0.000410854359467334,0,0.00088861587638742,0,9.05499128600989e-05,0,0,0,0,1.6092350920433e-07,0,0,8.61840683982986e-06,0,0.0209728078914498,0.00128348588457716,0.00814664381874741,0,0,0,0.00308482760891221,0,0,3.03898162481857e-05,0.000378883541122388,1.36964157096388e-05,0,0,0,0,0,0,0,0.00252330769481562,0,0,0,0,0,0.000619740046694318,0,0,0.0140739727168558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0049341833657139,0,0,0,0,0,0,0,0,0,0,0,0.00830920902070886,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00159260729010577,0,0,0,0,0.0235725802371961,0,0,0,0,0,0,0.00021045278156509,0.0185607252063846,0,0,0,0,0,0,0,0,8.8860769243031e-07,5.73660717039489e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.068676091281111,0.00433449610742719,0,0,0,0.090597834860014,0,0,0,0,0,0,0,0.00194962271495051,0,0,8.0199940243885e-05,0,0,4.20479194071e-05,0,0,0,0.000106803684621855,7.95343853288552e-05,1.47760329146155e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000117305263795817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.97549759933689e-06,0,0,0,0,3.7263277084132e-05,0,0,0,0,0,0,4.04676408037563e-05,0,0.000101767036436007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58379662366119e-05,0,0.0107030932561989,0,0,1.33925516058424e-05,0,0,0,0.00104531281919938,0,0,0,0,0,0,0,0.000708537657633207,0,0.000979502612284865,0,0,0,0,0
"k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales",0,0,0,0,0.00056121480795799,0,1.23237170847672e-05,0,0,0,0,0,0,0,0,0,0.00163046616245161,0.000678653712173183,0.000410854359467334,0,0.00088861587638742,0,9.05499128600989e-05,0,0,0,0,1.6092350920433e-07,0,0,8.61840683982986e-06,0,0.0209728078914498,0.00128348588457716,0.00814664381874741,0,0,0,0.00308482760891221,0,0,3.03898162481857e-05,0.000378883541122388,1.36964157096388e-05,0,0,0,0,0,0,0,0.00252330769481562,0,0,0,0,0,0.000619740046694318,0,0,0.0140739727168558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0049341833657139,0,0,0,0,0,0,0,0,0,0,0,0.00830920902070886,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00159260729010577,0,0,0,0,0.0235725802371961,0,0,0,0,0,0,0.00021045278156509,0.0185607252063846,0,0,0,0,0,0,0,0,8.8860769243031e-07,5.73660717039489e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.068676091281111,0.00433449610742719,0,0,0,0.090597834860014,0,0,0,0,0,0,0,0.00194962271495051,0,0,8.0199940243885e-05,0,0,4.20479194071e-05,0,0,0,0.000106803684621855,7.95343853288552e-05,1.47760329146155e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000117305263795817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.97549759933689e-06,0,0,0,0,3.7263277084132e-05,0,0,0,0,0,0,4.04676408037563e-05,0,0.000101767036436007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58379662366119e-05,0,0.0107030932561989,0,0,1.33925516058424e-05,0,0,0,0.00104531281919938,0,0,0,0,0,0,0,0.000708537657633207,0,0.000979502612284865,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000174032993520682,0,0,0,0.00547937294707341,0,0,0,0,0.000158883418158574,0,0.00144511584042083,0,0,0,0,0,0,0,0,0,0.0333788376432083,0,0,5.68461806034485e-07,0,0,0.00761687954934093,0,0.00429404988551275,0.000810611462386167,0,0,0.00206096092842168,0,0.000989668008642985,0.000329098768539034,0.00194231980223331,0.00710046318679787,0,0.0250705576606901,0.00201223343940526,0,0,0.00428004869686963,0,0,0.000324424889910129,0.0288922981670396,0,0.000682052601471363,0.000946451395826015,0,0.00107792329849893,0.0131741585157092,7.24204789656103e-05,0.000444712612324105,0,0,0.00118560409227193,0,0.00977157058659853,0,0.0118304907711894,6.72558469570766e-05,0.000187343379893645,0.0542690551756184,0,0.0120618575067663,0.000524007279461811,0,0,0,0,0,0.000114970049098156,0,0,0.0110941256357493,0,0,0,0.000752617929078563,0,0.00352945324028851,0,0.0137926395730704,0.00561793097184196,0.00600053459414894,0.00349181969440787,0,0,0,0,0,0,0.0112632797753502,0.0198301437403181,0.00318480015941703,0,0.000680731497523884,0,0.00309286346022468,7.22925257375836e-05,0,0.00302109003917577,0,0,0,0.000879871661914883,0,0.00332448825367896,0.00245986262986081,0,0,0.00111307878433566,0.0314100942178153,0,0,0,0.000517384233867502,0,2.92461358640546e-06,0,0,0,0,0,0,0.00632307390093103,0,0.00513334573131369,0,0.00114755405129235,6.97043339749718e-05,0,0,0.00688041723027666,0,0,0,0.00288329634852537,0,0,0,0,0,0,0,0.000320139235258497,3.69863847235046e-05,0,0,0.0015249846653167,0.0273676342692946,0,0.00136755336986132,0.00748705738457685,0,0.000384611569582154,0.00813354713894243,0,5.45303027362813e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Eubacterium_rectale",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00547937294707341,0,0,0,0,0.000158883418158574,0,0.00144511584042083,0,0,0,0,0,0,0,0,0,0.0333788376432083,0,0,0,0,0,0.00761129487697269,0,0.00429404988551275,0,0,0,0.00206096092842168,0,0.000989668008642985,0,0.00194231980223331,0.00710046318679787,0,0.0250705576606901,0.00201223343940526,0,0,0.00428004869686963,0,0,0.000324424889910129,0.0284708489702527,0,0.000682052601471363,0.000946451395826015,0,0.00107792329849893,0.0131741585157092,7.24204789656103e-05,0,0,0,0.00118560409227193,0,0.00977157058659853,0,0.0118304907711894,6.72558469570766e-05,0.000187343379893645,0,0,0.0120618575067663,0.000524007279461811,0,0,0,0,0,0,0,0,0.0110941256357493,0,0,0,0.000752617929078563,0,0,0,0.0137926395730704,0.00561793097184196,0.00600053459414894,0.00346366397342076,0,0,0,0,0,0,0.0112632797753502,0.0198301437403181,0.00318480015941703,0,0.000680731497523884,0,0.00309286346022468,7.22925257375836e-05,0,0.00302109003917577,0,0,0,0.000879871661914883,0,0.00332448825367896,0.00245986262986081,0,0,0.00111307878433566,0.0312984437517231,0,0,0,0.000517384233867502,0,0,0,0,0,0,0,0,0.00632307390093103,0,0.00513334573131369,0,0.00114755405129235,6.97043339749718e-05,0,0,0.00688041723027666,0,0,0,0.00288329634852537,0,0,0,0,0,0,0,0.000320139235258497,0,0,0,0,0.0273676342692946,0,0,0.00748705738457685,0,0.000384611569582154,0.00813354713894243,0,5.45303027362813e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_180",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041845338503368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0115097381660771,0,0,0,0,1.43696323747252e-06,0,0,0,0.0249957081757425,0,0,0,0,0,0,0,0,0,0,0,0,0.0200541145325561,0,0.0123049798391969,0,0,0,0,0,0,0,0,3.95406860782554e-06,0,0,0,0,0,0,0,0,0.00246347834536797,0.0318674377540736,0,7.1474429110274e-05,0,0,0,0,0,0.0339097094457775,0.0171679661305493,0,0,0,0,0,0,0,0,0,0.000146300531929411,0,0,3.7670108166448e-05,0,0,0,0,0,0,0.00255695761160623,0,0,0,0,0,0,0,0,0,0.0244789412530978,0,0,0,0,0.00120117011485449,0.00350465732857459,0,0,0,0.0196496202062306,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0188189009227392,0,0,0,0,0,0,0,0.016580278711088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis",0.000685867220710268,0,0,0,0,0,8.77629341572667e-05,0.00892098325548592,0,0,0,0.0105629122408468,0.00590498847011998,0,0,0,0.00399603493370556,0,0.00114338863650533,0,0,0,0,0.00464973582037324,0,0.00222260399542465,0,0,0,0,0,0,0,0.00163182467743722,0.00120074072711559,0.000368459158371205,0,0.000432208375332008,0.00561631853537751,0,0.00172591341984222,0.00380286040039535,0,0.00351316028739611,0,0,0,0,0.00171290804983137,0.000252847326256172,8.34140437956609e-05,0,0.00112417298122822,0.000300963020976769,0.00346303943690634,0.00121582499994027,0.00105767983137337,0.00153868214869467,0,0,0,0,0.00075869429471575,0,0,0.000126759694900258,0,1.79410377398668e-05,0,0,0.004861520289041,0,2.74196445519711e-05,0,0,0.00559893554245328,0.0012875583525488,0,0,0,0.000217109079691805,0,0,0,0,0,0,0,0.00538271005944444,0,7.1962885442833e-05,0,0,0,0.00558019204223081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000144372572519188,0,6.03610612638823e-05,0,0.00173020953235549,0.000314882743373256,0,0,0,0,0,0,0,0,0,0.00580877310600068,0,0,0,0,0,0.000171184225346969,0.00165893142795958,0.0107977328868794,0.000702228586217898,0.00013141302634852,2.90083117876821e-05,0.00686468873166674,0.00509007201156343,0.00390846089555016,0,0,0.000511117259423063,0,0.00783186726354045,0,0,0,0,0.00304697058996273,0,0.00654225966363224,0,0,0.000231038149941916,0,0.00375491091605076,0,0,0,0,0,0,0,0.000734131438874552,0.00943557017352824,0,0,0.00163788743194421,0,0.00256822150181435,0.000585781404687169,0.00531254863432683,0.0134660450626669,0.00199431387283312,0.00600265281987307,0,0,0,0,0,0.000207966568596005,0,0.00124906205074063,0,0,0,0.00209750172336532,0,0.0036113448089347,2.64248491916744e-05,0,0.00866213179549909,0.0146108945584526,0,0,0,0,0,0,0.00717857759163196,0.00174017450915968,0,0,0,0,0,0.000378104995909425,0.00256518918258775,0,0.000311397861609785,0,0,0,0.0153684188450378,0,0,0,0,0,0,0,0.00358398175070276,0.00439659933781991,0,0,0,0,0,0,0.00266030443296833,0.00374395014556189,0,0.00026209456520078,0,0,0,0,1.03474341575913e-05,0.00648506959495433,0.00608523117253771,0,0,0,0,9.98041118939057e-05,0,0,0.00774887216098677,0,8.02535776553724e-05,0.000324387124922378,0,0,0.00996256938124317,0,0,0,0,0.0038082489182321,0,0,0,0,0,0,0,0,0,6.73201813334587e-05
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_obeum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.40806787756378e-05,6.32299255783717e-05,0,0,0,0.000539115433367543,0,0,0,0,0,0,0,0.000308967495258068,0,0.000126540254902224,0,0,7.20574464856268e-05,0.001856071353328,0.000175622334994406,0,0,0,0,0,0.00121895334987041,0,8.3849749850496e-05,0,0,0.000205364221503796,0,0,7.49304263960211e-05,0.000291178676603638,0,0.000128451343988102,0,0.00458845996957738,0.000648196404413562,0,0.00256081173452653,0.000290879389685693,0,0,0,0.000389264007969905,0,0.000931512293975747,0.00396987918726843,0,0,0.000414625023040424,0,0,0.00134015112484934,0,0.00138372655273985,0.000195928565976889,0.000277539114416668,8.82153498388744e-05,0.00209417373083703,0.000128216327965035,0.000312206631875217,0,0,0.000710300588725103,0.00134470966881461,0.000343981632982529,0,0,0,0,0.00154318008275978,0,0,0.000616546438066719,0,0,0.00493250461409882,0.00515930300754012,0,0,0,0.00413545146598494,0.00255681551125207,0.00115267321872178,9.12156739932201e-08,2.62236545156138e-05,0,7.63875480895442e-05,0.000804033163413674,0,0,0.000759751041533846,0.000938328972929804,0.00363446191701055,0,0.000343264459999422,0,0.00319074596916933,0,0,0.00038152867886704,0,2.31017816702871e-05,0,0.00164046616477372,0,0,0.000370608437238369,0.00031763680355429,0,0.000437126478737962,0.00340575703898011,0,0.000604264093894116,2.31095715290263e-06,0,0,0.000416503289492103,0,0,0,0.000121190758928427,5.40868296460223e-05,0,0,0,0.00212373682446883,0,0,3.6576297143762e-05,0,0.00277834858274656,0.00289846410444156,0,0,0.00071765028890731,0.00194181741402923,7.33865184132616e-05,0.000130434570238214,0,0.000283564367291948,0,0,0.000370800440349936,0.00112847759427158,0,0,0,0,0,0,0.000605387149779996,0.00143101366411974,0.0234865640664293,0.00037695558926966,3.58225990625799e-05,0,0.000114947401825966,0.00184940945872349,0.00209406121830598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
