,mean,std,cv
k__Bacteria|p__Proteobacteria,0.06968740755117261,0.005606601933709219,0.08045358739442557
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium|s__Erysipelatoclostridium_ramosum,0.06326880290917788,0.006423262576285397,0.10152337773018978
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_invisus,0.06051164670155186,0.005614586579906061,0.0927852221176138
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_pneumosintes,0.05912437244038673,0.00437142973320079,0.07393617137515272
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_sp_CAG_257,0.05758144256621499,0.007620101745680652,0.132336068811024
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_vestibularis,0.055790418993326665,0.0024170811057682364,0.043324304591749956
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter_portucalensis,0.05256977887952746,0.004843175212154052,0.09212850644194276
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_scindens|t__SGB4631,0.05074190826165067,0.007482832009625568,0.14746847854125514
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli,0.05055927926621232,0.003455880153191974,0.06835303436577
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Eubacterium_rectale,0.04750740913935111,0.0049240999011599925,0.10364909369644588
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia,0.04671344773507372,0.004476018018683024,0.09581861831453534
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae,0.046691226826637816,0.002933467023520361,0.06282694250918222
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Faecalicoccus,0.0464391808413825,0.00546535163541391,0.1176883729728426
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Faecalicoccus|s__Faecalicoccus_pleomorphus,0.044269629844622696,0.005375985238432242,0.12143732073886421
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales,0.0442169326578839,0.002824477405970036,0.06387773271890289
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria,0.04385066122575969,0.0036566332697928073,0.08338832682515515
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_vestibularis|t__SGB8003,0.042346058964830034,0.003291885905589485,0.07773771600147059
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_farciminis,0.041236878926928164,0.005275615636616979,0.12793440662581135
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_inulinivorans,0.04028391775504237,0.003838335215018554,0.0952820735649056
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella_sp_KGMB02461|t__SGB72466,0.03660959851326681,0.003113843308803552,0.08505537988009178
