Method,Optimal_Features,Optimal_AUC,AUC_Std,Reduction_Ratio
Lasso_Selection_LR_Eval,10,0.7992169237961664,0.04953638229680263,68.75
Lasso_Selection_NN_Eval,10,0.797209755337385,0.060997982556355225,68.75
RF_Selection_NN_Eval,14,0.795055711391616,0.06311267163402116,56.25
FClassif_Selection_NN_Eval,24,0.7917414679756896,0.07063353282086292,25.0
RF_Selection_LR_Eval,12,0.7913709677419355,0.05063232162493703,62.5
MutualInfo_Selection_LR_Eval,14,0.7862182484026803,0.05154142584219488,56.25
MutualInfo_Selection_NN_Eval,12,0.7843256194483403,0.0686073061078609,62.5
FClassif_Selection_LR_Eval,14,0.782122487143525,0.06705949001445846,56.25
RF_Selection_Attention_Eval,24,0.779622487143525,0.0637764135438701,25.0
Lasso_Selection_Attention_Eval,16,0.7734650148044258,0.044979481943437545,50.0
FClassif_Selection_Attention_Eval,24,0.7609186535764375,0.04039872811278372,25.0
MutualInfo_Selection_Attention_Eval,24,0.7606817827645317,0.06412241999984657,25.0
FClassif_Selection_RF_Eval,12,0.7276626538881097,0.03338829635462631,62.5
RF_Selection_RF_Eval,20,0.7124283154121864,0.04255372089345125,37.5
MutualInfo_Selection_RF_Eval,20,0.7017270531400966,0.04327985173595435,37.5
Lasso_Selection_RF_Eval,18,0.6967418575658407,0.04422131120473144,43.75
