,mean,std,cv
Erysipelatoclostridium_ramosum,0.11478836111492492,0.006467493155392957,0.05634276064729044
Blautia_sp_CAG_257,0.11474254605027609,0.0061260413683229395,0.05338944950409874
Dialister_invisus,0.10224324118275648,0.008587992366387211,0.0839956975839259
Citrobacter_portucalensis,0.087372383699239,0.005720956630419309,0.06547785911521535
Escherichia_coli,0.08242161846505107,0.0072169991494557125,0.08756196837503148
Dialister_pneumosintes,0.07948881620984953,0.005012923660941303,0.06306451523579423
Clostridium_scindens,0.07605680283311309,0.0055413408996748586,0.07285792582990759
Streptococcus_vestibularis,0.07372816221293052,0.006840471632653361,0.09277963029781952
Ruminococcus_bicirculans,0.0734702916213206,0.004816489813190012,0.06555697149012402
Lactobacillus_farciminis,0.06812239328404487,0.004290792120115727,0.06298651461384702
Streptococcus_vestibularis.1,0.06672821453077729,0.0027039593057050057,0.040521978966751
Olsenella_sp_KGMB02461,0.06083716879571656,0.0032487405507408227,0.053400587421312755
