,ACC0105,ACC0138,MiREL002,MiREL007,MiRES013,MiRES002,ACC0194,ACC0038,ACC0002,MiREL011,ACC0070,ACC0101,MiREL018,ACC0061,ACC0049,MiREL006,ACC0166,ACC0177,MiREL014,MiREL016,MiRES011,MiREL013,ACC0115,MiRES003,MiREL020,ACC0014,ACC0134,MiREL019,ACC0119,ACC0113,ACC0062,ACC0135,ACC0118,MiRES008,ACC0127,MiRES005,ACC0031,ACC0160,MiREL005,MiRES001,MiRES012,ACC0158,ACC0085,MiRES009,MiREL008,ACC0191,MiREL009,MiRES010,MiREL015,MiREL003,ACC0020,MiREL001,MiREL010,ACC0097,ACC0189,ACC0088,ACC0027,ACC0136,MiREL012,ACC0077,ACC0050,ACC0121,ACC0108,ACC0092,ACC0114,ACC0035,ACC0162,ACC0098,ACC0157,ACC0102,ACC0093,ACC0037,ACC0110,ACC0159,ACC0012,ACC0072,ACC0142,ACC0147,MIRES001,ACC0199,ACC0261,MiREL017,ACC0192,ACC0034,MiRES004,ACC0197,ACC0141,ACC0013,MIRES007,ACC0004,ACC0104,ACC0265,ACC0131,MiRES007,ACC0107,ACC0056,ACC0083,ACC0036,ACC0163,ACC0164,ACC0074,ACC0080,ACC0204,ACC0078,ACC0066,ACC0169,ACC0008,ACC0032,ACC0103,ACC0190,ACC0047,ACC0016,ACC0065,ACC0021,ACC0133,ACC0184,ACC0087,ACC0167,ACC0054,ACC0259,ACC0009,ACC0125,ACC0096,ACC0023,ACC0048,ACC0052,ACC0149,ACC0154,ACC0079,ACC0057,ACC0064,ACC0174,ACC0089
ACC0105,0.0,0.5212383326567601,0.5347294283880054,0.5945617349651013,0.5912593476874682,0.5474163116570238,0.5153393226535838,0.5768406304376765,0.5305444557724613,0.5891666455186183,0.5109392359901432,0.6124047580189809,0.5572335705286149,0.4969354904839463,0.4581274217531784,0.4929783064345508,0.6251711261589884,0.49201487685061174,0.4108041359738105,0.5652891624878699,0.6968080894069989,0.551762153319667,0.4934954336728584,0.5152957570433713,0.5592494457230632,0.5366023560716046,0.5596921335957877,0.44934261194198905,0.5078576093668484,0.5606603005823992,0.5137945988246493,0.6029031507323207,0.5206426722017095,0.5471501841747608,0.4712967788353606,0.5241707736413131,0.5377500136848198,0.5614168143643227,0.5335556760686399,0.4834802009408764,0.7354348312170446,0.5388905760514926,0.5736853490654605,0.5555451293015987,0.518727053108238,0.6053273911743337,0.600084379401732,0.515387709547711,0.5044009187878884,0.4948658479054965,0.5769550326870153,0.6306558445085079,0.5394550958551394,0.5637843707903114,0.49533623583282865,0.5329548373778944,0.5142617236548843,0.5646568198638781,0.5475583573557774,0.4943477075100443,0.5507666373658192,0.5795264298261149,0.4953029365418971,0.5374449528756439,0.502130932293858,0.5220289226092109,0.6031141532620875,0.6163700190036435,0.5681053840218259,0.6407394025678608,0.566493361824893,0.5561017347526266,0.4909099586520854,0.515206461044754,0.519639923053506,0.49140694799267787,0.5289003300665662,0.5878599177776085,0.509896815190733,0.5761191866547362,0.5252523699103374,0.5541586351244076,0.6631223605920946,0.5659801433358513,0.5192965758165183,0.6078956576973488,0.47085406788269824,0.5402372365227053,0.5442508671760127,0.4645636274365406,0.5518548262351697,0.6063825897131297,0.554261253764376,0.5711344698112072,0.5478296470799905,0.5119594196537626,0.4780091284980962,0.4752668882074076,0.539325134244801,0.5561796159088849,0.6689995312766387,0.5106641289927084,0.5515171478765658,0.5530649434866456,0.531768987641256,0.5715674746863787,0.4986680933257604,0.5357096724506016,0.5199746091713532,0.5135972116891231,0.5566812292330133,0.5223670880610845,0.5523544587519298,0.4947448526933602,0.5515533422453274,0.5251494896535727,0.47616632575927037,0.6790656628062546,0.5360834077018467,0.5297676319954825,0.5409021301721862,0.5153903124775374,0.6637419576862715,0.4862789482217473,0.6346411498281174,0.5826543334035811,0.5248057889890745,0.5723440901607268,0.5333582263777461,0.5551006759803947,0.5564309530125193,0.5168347046629427,0.5007889945684957
ACC0138,0.5212383326567601,0.0,0.38612858574922837,0.3631601575385188,0.4642804245113266,0.4826582051202326,0.41230118369743834,0.38990213490071846,0.536633018577036,0.633581822523232,0.32692606959649484,0.387330467188682,0.42723627679048803,0.3577180809860766,0.4048237451862387,0.3945477488647981,0.45534012660422457,0.3934357303594243,0.5220845593904636,0.4979163886705172,0.6426179194441476,0.2702315763985319,0.3143349654403254,0.4349825699196235,0.30406527611194123,0.5061891362303451,0.40128747118203767,0.5088376314179133,0.39319587512681237,0.2727918260753639,0.27837679114581815,0.4785307002134666,0.4837863542215369,0.36939118101689333,0.3926034628934752,0.3768596244412309,0.4224468927317494,0.3453380581478971,0.3209984337199616,0.38095129502738484,0.6280148763526119,0.5140577590418859,0.44926681147808256,0.512875558331003,0.3369139058516736,0.5255888531197268,0.46029127938383796,0.5371225058458998,0.40612315835135615,0.4405968746408947,0.6033627262134721,0.6654354826599678,0.4144461280568067,0.4016686311776622,0.4291799986745267,0.364113411644122,0.2567930778054886,0.4386286168471332,0.6093685289600678,0.3441046034522882,0.39737459113121987,0.34642884365918586,0.4136002684242483,0.39078923089495887,0.45878875895310295,0.3124224341384467,0.43279131357217243,0.5047842309090904,0.36866687539307696,0.4394654767973013,0.49963610915175716,0.5491716359270811,0.3831390959314922,0.47624703769840726,0.29468080759053417,0.3830657459448169,0.27478769381432344,0.6396524223855633,0.41157730410617466,0.31590227246260916,0.3406779641221738,0.4329302405904818,0.7369058332091935,0.4863246308000106,0.4329926252483931,0.4814538449482336,0.5264502355416956,0.39832706774673104,0.29682357381352853,0.4057562355606422,0.44376447556563287,0.38200035628885726,0.45204872107006144,0.43316326464643107,0.39165401003271744,0.36158925998339414,0.4552142484226091,0.3269741614342326,0.2487053220246869,0.4491353912154074,0.6557245040807587,0.2547592029308035,0.35030473045847277,0.4367107731377296,0.5878080750343592,0.30770329063275237,0.43164137094352667,0.27873983852098116,0.4004715873546922,0.2757501411735504,0.4386155615961754,0.33360869938178556,0.4799211912168341,0.41642557501768307,0.3677914863881116,0.4464251749591808,0.3777728651039475,0.6869502229082635,0.4512294252748351,0.4096008134804469,0.42274137973871756,0.36812639291199567,0.6275829443223383,0.5406428100639649,0.4811216653552961,0.3972681372680289,0.3960083500214313,0.28449175149363487,0.2743095075751796,0.5286097554577629,0.3495958367238864,0.34405321276000056,0.41276914411222493
MiREL002,0.5347294283880054,0.38612858574922837,0.0,0.48119600860548645,0.33133482368789724,0.49673997544075804,0.4694777599597254,0.45312353754118667,0.6377677165042849,0.6639134541191136,0.44883699653846754,0.537336920910771,0.4355282844105172,0.3550722873136778,0.4287362105912218,0.44891773694212445,0.5491438239950125,0.42946793107409015,0.5572234165713771,0.5245466553545016,0.6439750911303961,0.43418065047954857,0.41746087205803495,0.4492445551097703,0.44850132515078406,0.5345099347141041,0.5141787427921322,0.4280503821048429,0.4634555027356199,0.39875972358511835,0.3772151979425856,0.4874662025874809,0.5267780321802461,0.36338254778681456,0.42787695854808083,0.48226455782254424,0.43805166139593765,0.4664469408483244,0.41535831484569635,0.4410559744485428,0.7097327332924781,0.5401721886977464,0.5489041787214222,0.5175792847955564,0.4821524233382145,0.4051929464777724,0.5082496717574364,0.5247295308419521,0.44963432838847417,0.5016138236367945,0.6036074008425368,0.6839443376615365,0.45579350979204114,0.35991060523079876,0.49775359824844806,0.4800282447392952,0.430273291979864,0.5052888613344196,0.6172594564045428,0.4094758115515074,0.4204734151228516,0.42507300105166845,0.4538716524857294,0.4482074411427818,0.4911979052791351,0.427248196164724,0.4959803742605565,0.5083147384628676,0.4699488855021012,0.3714776284054211,0.5604184005252943,0.5769842216928831,0.36496400744696056,0.5319940127661849,0.46401552933549833,0.4342542283368245,0.44176194023380755,0.6244325804658195,0.44187762774887507,0.4522200597966347,0.39912523148011403,0.4654528258597403,0.5751325905125,0.32761361407022227,0.3613365274594689,0.5283075114980045,0.5441790015083133,0.5010474466486461,0.4520389745323112,0.42480286936897504,0.5114568651003208,0.5050994068242409,0.4854340391946965,0.5523110932622178,0.4398776529909831,0.4434596665194837,0.49779878670710165,0.4199908755674539,0.3996335756085606,0.43527252373679165,0.6087614157538405,0.3862572648829381,0.47546234605764176,0.46552121409899644,0.5865983834787597,0.45481744535297824,0.524516948074627,0.39930963594051944,0.480149721735155,0.42669131143852645,0.45494632241186395,0.45602728577379265,0.5715548950120056,0.4102562413725045,0.4438739644356472,0.4425900532945994,0.3816303637531297,0.699745380334313,0.4782387297629733,0.4702422693451891,0.5344731347336288,0.46870132470391257,0.511831438069182,0.5205763989278621,0.6005409343119833,0.45633370126228157,0.45900923887990464,0.436787393043566,0.41675734139088644,0.5617593261384063,0.4842168014417917,0.4459849918151988,0.4682897345692795
MiREL007,0.5945617349651013,0.3631601575385188,0.48119600860548645,0.0,0.5031330052655113,0.5506962430037758,0.4824519096311602,0.36054672193325543,0.5283786705925997,0.6699693371073023,0.3768284953702789,0.38854129351670913,0.5130420260721688,0.42776455479968695,0.4987078827261545,0.5023018780400598,0.5349595930255376,0.5478592489844263,0.613092729331046,0.5424192415167277,0.646053194764638,0.3457276561491447,0.44393128343068694,0.45480485637960016,0.40714533856778157,0.5465245287642012,0.38851431131807296,0.5566241402144654,0.4849475526921468,0.4036524036222884,0.4395844791969742,0.4659801776351648,0.514832430063226,0.41577585687660706,0.512560240035948,0.37357228690502187,0.4328290801178591,0.3859552606361695,0.43431161231937127,0.4879492450536443,0.5704703563639296,0.5660781061955653,0.4183502279037419,0.5758576453590525,0.3455752135464016,0.5484711072961266,0.5154268630806714,0.6123390512516939,0.47452003972126056,0.5364773689089728,0.6166120546742324,0.7138765781385464,0.5389376321515337,0.5259543398391644,0.4560923276900785,0.4010575143201484,0.35615993569145243,0.49889716090224673,0.6724674215427139,0.46754908013570207,0.4289948531897411,0.4075821268500924,0.4862685483870222,0.3985758409379904,0.550279465407135,0.4116116409373539,0.3682347649152945,0.5171921725757753,0.4088585665842988,0.4203590814120972,0.5062144884286511,0.6228537339158057,0.5286039745337774,0.49646061274352454,0.34880880171886663,0.46006270679151556,0.2933165848562028,0.6895218866065825,0.47876962800760703,0.3184174004474908,0.4627929213549577,0.48033871977806347,0.7092948975018531,0.5017317105341329,0.5246521479369934,0.5089558508860984,0.5883720063643122,0.4809849824302086,0.3603758553426227,0.5209769801360948,0.5413667049897821,0.33704410115622874,0.46961885541362397,0.387526714820298,0.4619668117989721,0.37003385442581216,0.4726556467757592,0.46796983925281505,0.3798815915546344,0.46022168161489,0.6375594063745369,0.4165002945368287,0.38400626270759936,0.5239042282965368,0.6381319713803554,0.384467221232271,0.45884855242634437,0.3503196967389764,0.43954042707957547,0.35425513102662104,0.48918447964862527,0.4184262982196973,0.536576959144611,0.4993462938968676,0.4936914374008305,0.5558329634596071,0.48374031917550375,0.721442650929547,0.5513101538029528,0.46984335811874245,0.3772688405743415,0.4999267370683106,0.6663274625274572,0.6032103314732915,0.36575400269822234,0.3571147085602001,0.5326287780429536,0.34528328200371233,0.40251987384913795,0.5583655028597571,0.31591064402753405,0.4437877256728869,0.4883755490890641
MiRES013,0.5912593476874682,0.4642804245113266,0.33133482368789724,0.5031330052655113,0.0,0.5083159802254107,0.5477615197504929,0.42854029049672443,0.5999257133433089,0.6582762430756472,0.474128243379733,0.5643447152538318,0.4520477120792322,0.4519043958028737,0.46537355698250366,0.4389310170853869,0.5146238578953592,0.4713371406516055,0.5690917845058608,0.42172334421275043,0.6878928047364673,0.4687439963584431,0.4244064149093423,0.3742719123691681,0.3733509602633367,0.5503861890105678,0.6067825667779674,0.40770089287671435,0.49077201022477024,0.49043191186353763,0.44444750797698396,0.4188746390477204,0.5829404399009391,0.36644470852116723,0.4728068703878803,0.5329554351998556,0.5034483293067356,0.4975034735012387,0.5111400501514514,0.5389463309812578,0.7607091547970042,0.5041386683494712,0.5859100047459046,0.47639475596092823,0.5230159777252259,0.41804309196782624,0.5003953086543775,0.5583952881912736,0.5376964558457172,0.5760325594588662,0.5893520480236818,0.6574476569998166,0.4549609541208673,0.47299708331924756,0.5494859465816,0.5417963569515224,0.4696346532252071,0.4177307969078507,0.6318069608431249,0.47257970818561335,0.451532066675943,0.4417930438870067,0.36149849452850646,0.5234966960388016,0.5357329362036747,0.5014523758625523,0.47140645333439335,0.5105880804262292,0.46456882173706143,0.3029431154944831,0.6035894764922818,0.5834577950979724,0.4871392782404229,0.5062365256211451,0.49758824366825666,0.475807152778703,0.5085602689369504,0.6417853288982941,0.5326554133579007,0.4414919724072401,0.47033189752068794,0.4397814653361154,0.4975200621419498,0.29634094036760517,0.4323258496216665,0.4816532746840959,0.5176951355410829,0.530635913532311,0.45158251354012896,0.4961947998840472,0.5753924552509642,0.42188841708270375,0.5085042842971528,0.5571084606808755,0.4459469667687947,0.4376573752651736,0.496228847826898,0.48010996030686637,0.4525987019958622,0.4786485195969342,0.6033535055170165,0.48510942780425687,0.5383911289908204,0.5099103261666098,0.5635664618561631,0.4813884939774408,0.5570178143585232,0.43235965082044936,0.5422336644098397,0.46030855506935703,0.42172904604220196,0.4437467907493727,0.6134770547941714,0.4799968521978881,0.44195444549670915,0.5000745818548418,0.4816302074327833,0.7111171587426185,0.48700471653342553,0.44220332234236925,0.5425987258874962,0.5650742318960826,0.5938106761902576,0.5534881670401074,0.6271782049425872,0.5562341720223319,0.47549392971241183,0.5178518870276074,0.4831323277291386,0.49290437364399675,0.49979102259208674,0.45970259167184535,0.5335363397708437
MiRES002,0.5474163116570238,0.4826582051202326,0.49673997544075804,0.5506962430037758,0.5083159802254107,0.0,0.5147232358387382,0.5023644494762075,0.6259106671655877,0.6873991895402465,0.5537693578700507,0.6197951846124654,0.5011061558712685,0.483879920392748,0.5068132642632494,0.3904265773472522,0.4145811213369481,0.47748973501409503,0.5192709796899496,0.5180099952378743,0.7690967544055094,0.5369262530498845,0.44619103426078305,0.5321016903496861,0.48133978584756054,0.5658054283420586,0.6240269552767486,0.497934660305739,0.576308869966189,0.5309768259634151,0.4564421358258357,0.4249473747217441,0.5854131464746384,0.48992079092723056,0.4765270006897531,0.5756864744186903,0.49488991479371425,0.41880816548717137,0.44269447810207824,0.4896232778833196,0.8015502256299064,0.550837048101431,0.6662633391295157,0.5540847909394168,0.6117134926306789,0.5378162223485914,0.3606366480572581,0.547499674349293,0.543662871934707,0.6339529784601307,0.6183298639109182,0.6818595925503619,0.5008043614247161,0.38966949346341234,0.629615381516431,0.5622941886978445,0.5245239045748548,0.42821019728578813,0.6421688811723681,0.4701646198448616,0.4885159845367583,0.44057951873757734,0.38923390655173673,0.4655086829785578,0.5910904392014723,0.508446135130173,0.5632451523672589,0.5763176929417583,0.5132710150930077,0.569467672736931,0.6303941278785082,0.6053960374624874,0.44820216882906894,0.5322338821949462,0.5824969231282844,0.5407661158955145,0.48055564353772046,0.6820105562951494,0.5471281090767633,0.46494850147616207,0.48614402792083217,0.3539407043004092,0.6883592016365152,0.5746044233045123,0.3759938802435038,0.40290976555009106,0.553710732916536,0.599408935203228,0.5462032329827149,0.4766924578748179,0.34129140018778786,0.493206214478126,0.5241740929977003,0.6357919045722057,0.42163256291803114,0.5694393410605418,0.4675964178712659,0.5110136220756958,0.49963269151405015,0.4219511520764747,0.770560280854389,0.44887543167991306,0.534119305894071,0.4119051362502691,0.5743617489928201,0.46521073138916147,0.5935979306663229,0.541962981680617,0.6046993450213907,0.5161404893150248,0.37588141729203645,0.43826728417001687,0.6578869497831373,0.44638259652824197,0.4224814045347891,0.370316425540643,0.5344211437223041,0.7905949182744774,0.5174490558162361,0.5511959738305714,0.6181644886550277,0.6293183660158712,0.6951193628817963,0.566028958193709,0.6688478883058533,0.57626838729539,0.5133057180637924,0.4552187381465149,0.5264168840623342,0.4460857206580952,0.5638816370254699,0.4465093180637138,0.5884547193291919
ACC0194,0.5153393226535838,0.41230118369743834,0.4694777599597254,0.4824519096311602,0.5477615197504929,0.5147232358387382,0.0,0.4778146095441415,0.6284429546414129,0.6592682011024441,0.4336685280281911,0.5397361295378796,0.47796572328645565,0.4239704525906049,0.42690396550949955,0.40942986901369943,0.56213909021674,0.3907293782566543,0.546490097931739,0.5469894112453607,0.678790756382093,0.47412748749910694,0.4219494472230396,0.49255051647025316,0.4767922864423665,0.5395525855673966,0.4978919002877446,0.5135259459097492,0.4455540065394782,0.4465461976510738,0.4149023782032937,0.5667336964222417,0.4609424003945957,0.4563483658233898,0.38685157789013513,0.494949838266349,0.43501421255885775,0.5076163913350238,0.44382183130568376,0.42232273528294867,0.7142450274029724,0.5511916103932821,0.5710679736996888,0.5525003061820803,0.47374983128742815,0.5099153601500476,0.5245969694503332,0.4661013691189673,0.3846073780046358,0.47519771060637866,0.5950132308096645,0.6352082538141809,0.4602061647888011,0.4377272377564825,0.5101890793571789,0.49139410452087295,0.4381407832723831,0.5239200061218013,0.6204937949062086,0.424001698166539,0.4545462821010427,0.4962677132641562,0.4487692659045169,0.46909492946901915,0.4959439718952668,0.4389561562462043,0.553760810565844,0.5444935972554361,0.4995448748707493,0.5673526664625369,0.5068514161533272,0.5558156741958183,0.39504268152928423,0.5080496230781794,0.44536918149195853,0.4094048044251001,0.453674713987845,0.6241968613764842,0.4674975302400802,0.5142114392794116,0.38669105116536145,0.5101646934626061,0.7464494679173682,0.5090087456894289,0.4614518193319692,0.556036546406879,0.550129967499826,0.471663325286538,0.46440567854033726,0.3991177166735105,0.5692705007425329,0.5271509529314753,0.5229935763873622,0.5524761403373609,0.4601951329123259,0.46939488960152825,0.5328631050480386,0.39821633434816406,0.4463738651886622,0.5156322590802601,0.7191988549980174,0.43671762094073313,0.4056150641312551,0.456669426956552,0.5575153481431239,0.46646787885974456,0.4320274838765011,0.4448282281399334,0.4668093146848619,0.40515161724426424,0.4831189037072493,0.4553237399408011,0.5206630686634627,0.452568544029809,0.48677509986320494,0.46583363226052216,0.40874211653470716,0.6950469121907178,0.5158718970514428,0.49917467785276504,0.5486566692011382,0.488875774300593,0.6487337811386754,0.4831944361626694,0.61567451494553,0.5008624394948409,0.505814493496258,0.4788046585697319,0.43309789832916085,0.5624879565781045,0.45827944345183674,0.4079240715781095,0.4392783023556745
ACC0038,0.5768406304376765,0.38990213490071846,0.45312353754118667,0.36054672193325543,0.42854029049672443,0.5023644494762075,0.4778146095441415,0.0,0.5628837924477232,0.6695942142467167,0.38616006160812455,0.4703872289961219,0.4659381491257833,0.42152485435533055,0.4713955173593418,0.41720702429911904,0.5334363818100598,0.44564975365031456,0.5969612691482271,0.4569527619301478,0.6375804661918169,0.40670175321091645,0.42475318614837865,0.4020077518204831,0.36803324640690266,0.544101600619498,0.5017610095850434,0.46208131891173726,0.4784961433834763,0.40864584204240095,0.42147673280554104,0.3932185759583774,0.47775101054134445,0.3899829352953063,0.48507774314301777,0.4378965263253736,0.3582335876084919,0.3936624310980553,0.4406172831743479,0.451626482018698,0.6375164912747602,0.5054713702112573,0.4818911645306885,0.44369148193734315,0.4356118456337065,0.4739963194961061,0.47149811797983243,0.5256924969744995,0.45037751745724347,0.5030999995343783,0.5603483164116108,0.6787107383528451,0.4858557061195168,0.48082604898792736,0.4834230091105574,0.44784963229750063,0.38847121214907243,0.4307614752643177,0.6444363884110484,0.44673462702523997,0.33007391097804156,0.3936354215096615,0.3828093130174981,0.423421553060857,0.4794556374363595,0.39291392835508976,0.4427666760852999,0.49322550704220447,0.4144214939330426,0.41546569121386867,0.516067318401112,0.613390789161588,0.47183166675202665,0.48606361110349866,0.40903293117683437,0.45113202054544815,0.3914049840427359,0.6570469405148704,0.4757778390931463,0.3583258030932115,0.385653381812756,0.446202082353376,0.7189426333636211,0.4086136728629306,0.4584263157421183,0.4467313174388641,0.5497293417964805,0.5272540615630855,0.3992526757082429,0.48563937212272057,0.5597787595660411,0.37555547601572176,0.37643388128047933,0.4983122736528423,0.4527552182667183,0.38075363712918314,0.48976947901199214,0.44295966221550737,0.3931082893072165,0.41227150132972057,0.6686032759439358,0.4138482010331471,0.4200990519096952,0.4684197295116119,0.5858694591027083,0.38589540390041727,0.47355365572069374,0.3571679562458646,0.49402357626322435,0.3243726727504287,0.3759778380896536,0.4061233181462076,0.5254798209028968,0.5012920903535745,0.4570980466749771,0.48221070438588537,0.4438171658280351,0.6484944549516847,0.5000955635166074,0.43686169489347304,0.4514322500755831,0.4838638825149815,0.6139357532279505,0.5468969579057724,0.5276040640476367,0.45600930876425205,0.49502045472111,0.41524608231360854,0.4166054756902604,0.5102685567125619,0.3646752252342044,0.4053963657895855,0.4835400042660854
ACC0002,0.5305444557724613,0.536633018577036,0.6377677165042849,0.5283786705925997,0.5999257133433089,0.6259106671655877,0.6284429546414129,0.5628837924477232,0.0,0.5329568240960769,0.44978666514981397,0.5136403420376845,0.5792273839086899,0.5397491013489375,0.49914424854437833,0.6485997407887834,0.7086757828921872,0.5926144313443872,0.4892357261278331,0.535485182505584,0.6320555948296289,0.5324843516377764,0.5614038135713626,0.5127184918591656,0.5773751811155279,0.5366131649737532,0.5506069411018911,0.5451183943149734,0.48404663397898,0.5353427143562821,0.58799206033814,0.6660285665547433,0.6213238297159808,0.5783151438380346,0.5682226633811126,0.48357591015312457,0.5443795939077721,0.5909247688239532,0.6098729971195727,0.5984969450252706,0.5738546424556764,0.5655267131571671,0.5144328852510407,0.5415401442341179,0.4286997712577717,0.6502576743043891,0.7033869333805143,0.6114705210162212,0.5054431786995431,0.5489126975944301,0.5574184072538537,0.6073770851840544,0.5973945250207963,0.6788037644968822,0.4874724848616312,0.5219583985335061,0.5039004399882545,0.6206573680691835,0.5179374511513132,0.5900029946550377,0.5514556777374994,0.5979668676048256,0.5356839608228703,0.6116855424114517,0.4725266394460588,0.5880837999347361,0.47978210419141326,0.679593521378003,0.5261347079233664,0.6085886023450171,0.5161937792381415,0.5295255052816553,0.6245487579409111,0.4711234758251942,0.4794437019459962,0.4871560431392171,0.4773639453897602,0.5606721794049807,0.5700681832143782,0.524253419203295,0.5975682220347707,0.6241432146379988,0.7140261404328806,0.5853063271201588,0.6688673544016395,0.6941890804975382,0.43908092496805085,0.48082458006586476,0.5004850856425743,0.6072639015844066,0.5986891811138546,0.5581655153985515,0.536851773597446,0.4961948672380192,0.6633620812524771,0.4171781687260925,0.5564087124898448,0.5347630388136027,0.5748449027995552,0.6433535460658152,0.5342242264837024,0.5703125775791898,0.57402323091914,0.694594587760335,0.4954987282798259,0.5772855023325247,0.4907724241345537,0.507161581809282,0.5325490985462442,0.5064031002566843,0.6244392920052351,0.599652518127504,0.49113684130142593,0.6147588795748055,0.6501049056403098,0.6219613890932726,0.5054773208453479,0.6024712876705264,0.6105293155835151,0.4641263144098308,0.4125075114410934,0.47309784447521586,0.6880053217940781,0.5826780306187136,0.5003036928886332,0.5603104811993205,0.5325258520469311,0.506936217825959,0.518409581328422,0.6637701107197582,0.5304068882604781,0.6542401932692499,0.5344824191251865
MiREL011,0.5891666455186183,0.633581822523232,0.6639134541191136,0.6699693371073023,0.6582762430756472,0.6873991895402465,0.6592682011024441,0.6695942142467167,0.5329568240960769,0.0,0.48874925768321487,0.6519303554594004,0.49525777840987967,0.5607912088618808,0.491179188176081,0.6595986574541672,0.7403715441160342,0.5694504054308671,0.5814255869944994,0.5333609574777679,0.6924406929378376,0.6541272878020593,0.6193241184713241,0.4725126539558361,0.6872345298352801,0.3381103348666352,0.6810494914589751,0.5922232866717404,0.4009012196484141,0.6499786802620359,0.6307645605015785,0.7093926414131073,0.6850638851982075,0.633492257321333,0.5486712830019917,0.639722137975874,0.6355425685430376,0.6890611736299742,0.6687352955915028,0.6577550487928064,0.7340068404551734,0.36255169756177585,0.6406928517538184,0.5051254733923292,0.562335615353581,0.6980354750317193,0.7095227641680496,0.528003068916574,0.47559423707172543,0.5841477975010136,0.25114235465887674,0.2750210463314861,0.4934603367763698,0.7012641723807592,0.4814819109229861,0.6296896027935927,0.6189877937495004,0.6484581566557291,0.37496549654334144,0.6347246682099942,0.6614649123359564,0.6838695416222206,0.6110279524170155,0.6927374727438216,0.4427272596295557,0.690357207664771,0.6606931472316404,0.6977731390929611,0.6520925590867095,0.7169557194574505,0.5941767665474893,0.3239511511478754,0.6288485674059422,0.5850312234469456,0.5105112998939796,0.5574665418223154,0.6350539190032152,0.38153048690636054,0.6578322045988986,0.6628785340279864,0.6281264729752022,0.6562594916681267,0.7408168481412776,0.6297835670871239,0.6870323284365055,0.7207424651768948,0.4365617181065887,0.5078371026036101,0.6418863381466078,0.58812149407643,0.6959787221299195,0.7089212372542076,0.6569753014664612,0.6161978191690727,0.6839350340152536,0.5797856773944464,0.647678785254428,0.5365404687953533,0.6643766413026488,0.6935789607989116,0.4474927981129009,0.6470803562502639,0.6826521239336178,0.7061392841392111,0.3125969628543778,0.6812170143757224,0.5681919780007233,0.6222679295342027,0.6142129466304261,0.5725793746912742,0.6836079345797045,0.6543342214870392,0.558197479457299,0.6735017081745698,0.6766287587208076,0.6230936094847297,0.5263952616054318,0.5058586265339096,0.48583870451946837,0.4724079021720369,0.39983866757056086,0.4308149305654418,0.7161811514370195,0.5047546815013535,0.659322104698069,0.7008251859627699,0.49748440191715126,0.6526103771323035,0.646298810708616,0.6991339525166436,0.6597380732105816,0.6833412888258933,0.5970248286945259
