#mpa_vOct22_CHOCOPhlAnSGB_202212
#clade_name	relative_abundance
d__Bacteria	99.0222
d__Bacteria;p__Firmicutes_A	79.26562999999999
d__Bacteria;p__Firmicutes_C	3.69716
d__Bacteria;p__Firmicutes	6.1743
d__Bacteria;p__Bacteroidota	5.456930000000001
d__Bacteria;p__Actinobacteriota	2.9274000000000004
d__Bacteria;p__Verrucomicrobiota	0.34367
d__Bacteria;p__Desulfobacterota_I	0.29452
d__Bacteria;p__Proteobacteria	0.63459
d__Bacteria;p__Firmicutes_B	0.12025
d__Bacteria;p__Cyanobacteria	0.09767
d__Bacteria;p__Patescibacteria	0.00581
d__Bacteria;p__Campylobacterota	0.00427
d__Bacteria;p__Firmicutes_A;c__Clostridia	79.26562999999999
d__Bacteria;p__Firmicutes_C;c__Negativicutes	3.69716
d__Bacteria;p__Firmicutes;c__Bacilli	6.1743
d__Bacteria;p__Bacteroidota;c__Bacteroidia	5.456930000000001
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia	2.6669300000000002
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae	0.34367
d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia	0.29452
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.41955999999999993
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	0.21503
d__Bacteria;p__Actinobacteriota;c__Actinomycetia	0.26047000000000003
d__Bacteria;p__Firmicutes_B;c__Dehalobacteriia	0.11634
d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia	0.09767
d__Bacteria;p__Patescibacteria;c__Saccharimonadia	0.00581
d__Bacteria;p__Campylobacterota;c__Campylobacteria	0.00427
d__Bacteria;p__Firmicutes_B;c__Peptococcia	0.00391
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales	35.693799999999996
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales	29.64338
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales	3.69716
d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39	4.6995499999999995
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77	7.04336
