#mpa_vOct22_CHOCOPhlAnSGB_202212
#clade_name	relative_abundance
d__Bacteria	99.99996999999998
d__Bacteria;p__Firmicutes_A	97.23041999999998
d__Bacteria;p__Actinobacteriota	1.3444699999999998
d__Bacteria;p__Proteobacteria	0.57484
d__Bacteria;p__Firmicutes	0.44405999999999995
d__Bacteria;p__Firmicutes_C	0.17487000000000003
d__Bacteria;p__Bacteroidota	0.21541000000000002
d__Bacteria;p__Patescibacteria	0.0159
d__Bacteria;p__Firmicutes_A;c__Clostridia	97.23041999999998
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia	1.27446
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.37512
d__Bacteria;p__Firmicutes;c__Bacilli	0.44405999999999995
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	0.19972
d__Bacteria;p__Firmicutes_C;c__Negativicutes	0.17487000000000003
d__Bacteria;p__Bacteroidota;c__Bacteroidia	0.21541000000000002
d__Bacteria;p__Actinobacteriota;c__Actinomycetia	0.07001000000000002
d__Bacteria;p__Patescibacteria;c__Saccharimonadia	0.0159
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales	60.30303
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales	35.91447999999999
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales	1.27446
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales	0.46114
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales	0.36523
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales	0.35103
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales	0.37686
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32	0.19972
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales	0.16576000000000002
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales	0.1428
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales	0.21541000000000002
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__UBA1381	0.03253
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales	0.03207
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales	0.06351000000000001
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	0.06275
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales	0.0159
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales	0.00989
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales	0.00594
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales	0.00445
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales	0.00245
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales	0.0005600000000000001
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae	37.47518
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae	22.731969999999997
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	35.89873999999999
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	0.88549
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-74	0.46114
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae	0.38888999999999996
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae	0.36523
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae	0.35103
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae	0.33615
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-239	0.19972
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae	0.16051
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae	0.1428
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	0.19429
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae	0.08738
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__UBA1381;f__UBA1381	0.03253
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae	0.03207
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae	0.040709999999999996
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae	0.01786
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae	0.01574
