#mpa_vOct22_CHOCOPhlAnSGB_202212
#clade_name	relative_abundance
d__Bacteria	100.00001
d__Bacteria;p__Firmicutes	34.99172
d__Bacteria;p__Firmicutes_A	45.95199
d__Bacteria;p__Actinobacteriota	8.565270000000002
d__Bacteria;p__Synergistota	2.06738
d__Bacteria;p__Verrucomicrobiota	1.22922
d__Bacteria;p__Desulfobacterota_I	1.3260100000000001
d__Bacteria;p__Bacteroidota	3.88583
d__Bacteria;p__Proteobacteria	1.2077499999999999
d__Bacteria;p__Firmicutes_C	0.73535
d__Bacteria;p__Firmicutes_B	0.01292
d__Bacteria;p__Patescibacteria	0.02619
d__Bacteria;p__Fusobacteriota	0.00038
d__Bacteria;p__Firmicutes;c__Bacilli	34.99172
d__Bacteria;p__Firmicutes_A;c__Clostridia	45.95199
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia	8.298900000000001
d__Bacteria;p__Synergistota;c__Synergistia	2.06738
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae	1.22922
d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia	1.3260100000000001
d__Bacteria;p__Bacteroidota;c__Bacteroidia	3.88583
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	1.2077499999999999
d__Bacteria;p__Firmicutes_C;c__Negativicutes	0.73535
d__Bacteria;p__Actinobacteriota;c__Actinomycetia	0.26637000000000005
d__Bacteria;p__Firmicutes_B;c__Dehalobacteriia	0.01292
d__Bacteria;p__Patescibacteria;c__Saccharimonadia	0.02619
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia	0.00038
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	13.6504
d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39	17.29093
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales	22.1166
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales	18.21439
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales	4.03891
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales	8.298900000000001
d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales	2.06738
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales	1.22922
d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales	1.3260100000000001
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__UBA1381	1.12154
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales	3.88583
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__UBA1212	0.82951
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales	1.4552900000000004
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales	2.05017
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales	0.7725099999999999
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales	0.40218
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales	0.33317
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales	0.43524
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales	0.25416000000000005
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Eubacteriales	0.10996
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Monoglobales	0.0336
d__Bacteria;p__Firmicutes_B;c__Dehalobacteriia;o__UBA4068	0.01292
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales	0.02619
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales	0.01148
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Saccharofermentanales	0.020249999999999997
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales	0.00952
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales	0.00269
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales	0.00068
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales	0.00038
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae	13.22561
d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660	17.29093
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae	11.526479999999998
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	18.048620000000003
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae	3.79113
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	5.232950000000001
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae	6.250149999999999
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae	4.1894800000000005
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae	2.9061800000000004
d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Dethiosulfovibrionaceae	1.63464
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae	1.22922
d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae	1.3260100000000001
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__UBA1381;f__UBA1381	1.12154
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	1.6889000000000003
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__UBA1212;f__UBA1255	0.82951
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	1.46981
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae	1.3101700000000005
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-74	1.45439
