#mpa_vOct22_CHOCOPhlAnSGB_202212
#clade_name	relative_abundance
d__Bacteria	99.99873000000001
d__Bacteria;p__Actinobacteriota	43.991
d__Bacteria;p__Firmicutes_C	16.765259999999998
d__Bacteria;p__Firmicutes_A	27.797
d__Bacteria;p__Firmicutes	4.899960000000001
d__Bacteria;p__Proteobacteria	4.1936
d__Bacteria;p__Bacteroidota	2.29469
d__Bacteria;p__Patescibacteria	0.056549999999999996
d__Bacteria;p__Fusobacteriota	0.00067
d__Bacteria;p__Actinobacteriota;c__Actinomycetia	43.90847
d__Bacteria;p__Firmicutes_C;c__Negativicutes	16.765259999999998
d__Bacteria;p__Firmicutes_A;c__Clostridia	27.797
d__Bacteria;p__Firmicutes;c__Bacilli	4.899960000000001
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	4.1936
d__Bacteria;p__Bacteroidota;c__Bacteroidia	2.29469
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia	0.08252999999999999
d__Bacteria;p__Patescibacteria;c__Saccharimonadia	0.056549999999999996
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia	0.00067
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales	43.89398
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales	15.62638
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales	11.0355
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	4.61901
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales	3.66926
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales	16.1454
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales	2.29469
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales	1.13888
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales	0.52434
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales	0.32271
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales	0.27039
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales	0.08252999999999999
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales	0.17112
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales	0.10059
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales	0.056549999999999996
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales	0.012759999999999999
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__UBA1381	0.01024
d__Bacteria;p__Firmicutes;c__Bacilli;o__Haloplasmatales_A	0.00924
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales	0.00913
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales	0.00536
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales	0.00067
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae	43.68458
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae	10.25042
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae	10.671360000000002
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae	5.35708
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	4.5019800000000005
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae	3.66926
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	15.269630000000001
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	2.15246
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae	1.13888
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__CAG-274	0.84532
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae	0.5107200000000001
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae	0.34325
